SOURCE_ID;ESTADO;SOURCE_NAME;SOURCE_OWNER;COUNTRY;TERRITORY;URL;VERDICT;EVIDENCE_PATH;NO_ATLAS_CORRENTE;IRMAOS_MESMA_FONTE;N_REGISTOS;N_VERSOES;ONDE;N_CITACOES;FIRST_ASSIGNMENT_COMMIT;FIRST_ASSIGNMENT_DATE;FIRST_ASSIGNMENT_BRANCH;FIRST_ASSIGNMENT_FILE;FIRST_ASSIGNMENT_SOURCE;DIVERGENCIAS
ES-T1-001;SAME_ID_SAME_SOURCE;MAPA — Estadística Anual de Superficies y Producciones · **NÃO SEI**;UNKNOWN;UNKNOWN;T1;UNKNOWN;localizados apenas os *esquemas de conceitos* no datos.gob.es, não a série.;UNKNOWN;SIM;;27;27;ATLAS-DE-FONTES-EAME.md;9;595ace5e9657;2026-08-28;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;MAPA — Estadística Anual de Superficies y Producciones · **NÃO SEI**;
ES-T13-001;SAME_ID_SAME_SOURCE;registro mercantil / cooperativas agroalimentares espanholas · **NÃO SEI**;UNKNOWN;UNKNOWN;T13;UNKNOWN;equivalente aberto não investigado nesta rodada;UNKNOWN;SIM;;21;21;ATLAS-DE-FONTES-EAME.md;17;85157fef3c5b;2026-08-28;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;registro mercantil / cooperativas agroalimentares espanholas · **NÃO SEI**;
ES-T3-001;SAME_ID_SAME_SOURCE;Datos de seguimiento de plagas y enfermedades en las;Junta de Andalucía — Consejería de Agricultura, Pesca,;SPAIN (Andalucía);T3 (com leitura para T1 e T2);https://www.juntadeandalucia.es/datosabiertos/portal/dataset/raif;GREEN;Vid 2026: 639 amostragens em Cádiz, Córdoba e Huelva.;SIM;;26;26;ATLAS-DE-FONTES-EAME.md;524;6b77e3163e1a;2026-08-28;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;Datos de seguimiento de plagas y enfermedades en las;
ES-T4-001;SAME_SOURCE_MULTIPLE_IDS;Jerarquía de especies vegetales · Clasificación de plagas;MAPA — Ministerio de Agricultura, Pesca y Alimentación;SPAIN;T4 (é infraestrutura para T1, T3 e para toda normalização);https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/;GREEN;813 espécies vegetais (710 com EPPO) e 1.395 linhas de pragas.;SIM;ES-T4-002;56;28;ATLAS-DE-FONTES-EAME.md;270;d7b289425c5e;2026-08-28;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;Jerarquía de especies vegetales · Clasificación de plagas;SOURCE_NAME: escolhido «Jerarquía de especies vegetales · Clasificac» (prova 100) sobre «Autorizaciones excepcionales vigen» (80) || SOURCE_OWNER: escolhido «MAPA — Ministerio de Agricultura, Pesca y Al» (prova 100) sobre «MAPA» (80) || TERRITORY: escolhido «T4 (é infraestrutura para T1, T3 e para toda» (prova 100) sobre «T4 (com leitura direta para T3 e p» (80) || EVIDENCE_PATH: escolhido «813 espécies vegetais (710 com EPPO) e 1.395» (prova 100) sobre «45 autorizações excepcionais vigen» (80)
ES-T4-002;SAME_SOURCE_MULTIPLE_IDS;Autorizaciones excepcionales vigentes;MAPA;SPAIN;T4 (com leitura direta para T3 e para oportunidade de portfólio);UNKNOWN;GREEN;45 autorizações excepcionais vigentes em 24/08/2026. Ex.:;SIM;ES-T4-001;28;28;ATLAS-DE-FONTES-EAME.md;139;d7b289425c5e;2026-08-28;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;Autorizaciones excepcionales vigentes;
ES-T4-003;SAME_SOURCE_MULTIPLE_IDS;Registro de Productos Fitosanitarios — aplicação de consulta;MAPA;SPAIN;T4;https://www.mapa.gob.es/es/agricultura/temas/sanidad-vegetal/;NÃO SEI;nenhum;SIM;ES-T4-005;28;28;ATLAS-DE-FONTES-EAME.md;71;d7b289425c5e;2026-08-28;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;Registro de Productos Fitosanitarios — aplicação de consulta;
ES-T4-005;SAME_ID_DIFFERENT_SOURCE;Registro de Productos Fitosanitarios — aplicação de consulta;MAPA;SPAIN;T4;https://www.mapa.gob.es/es/agricultura/temas/sanidad-vegetal/;NÃO SEI;nenhum;SIM;ES-T4-003;40;20;ATLAS-DE-FONTES-EAME.md;426;1e3f5bb5e24e;2026-08-28;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;Registro de Productos Fitosanitarios — aplicação de consulta;SOURCE_NAME: escolhido «Registro de Productos Fitosanitarios — aplic» (prova 100) sobre «Registro Oficial de Productos Fito» (100) || SOURCE_OWNER: escolhido «MAPA» (prova 100) sobre «MAPA — D.G. de Sanidad de la Produ» (100) || URL: escolhido «https://www.mapa.gob.es/es/agricultura/temas» (prova 100) sobre «https://servicio.mapa.gob.es/regfi» (100) || VERDICT: escolhido «NÃO SEI» (prova 100) sobre «GREEN» (100) || EVIDENCE_PATH: escolhido «nenhum» (prova 100) sobre «ES-01717 · SORATEL MAX · titular A» (100)
ES-T5-002;SAME_ID_SAME_SOURCE;OpenAlex, recorte espanhol declarado;UNKNOWN;SPAIN — filtro institutions.country_code:es;T5 e T6;UNKNOWN;GREEN;UNKNOWN;SIM;;17;17;ATLAS-DE-FONTES-EAME.md;15453;b0924e250671;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;OpenAlex, recorte espanhol declarado;
ES-T7-001;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;SIM;ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;30;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
ES-T7-002;SAME_SOURCE_MULTIPLE_IDS;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;SPAIN;T7;UNKNOWN;PARCIAL;Oleo Revista, 50 itens datados, 29 on-topic;NAO;ES-T7-001 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;18;18;ATLAS-DE-FONTES-EAME.md;4;74bcccb3cd00;2026-08-29;HEAD -> claude/sintonia-eame-repo-setup-xccfob;ATLAS-DE-FONTES-EAME.md;feeds de imprensa técnica espanhola, associações agrárias,;
