SOURCE_ID;AFIRMACAO;ROTA;EM_FICHEIROS;N_VERSOES;NAS_PONTAS;TEM_EVIDENCIA;TEM_CERCA;FIRST_ASSIGNMENT_DATE;FIRST_ASSIGNMENT_COMMIT;N_CITACOES;RESOLUCAO_PROPOSTA
ES-T4-005;Registro de Productos Fitosanitarios — aplicação de consulta;https://www.mapa.gob.es/es/agricultura/temas/sanidad-vegetal/;ATLAS-DE-FONTES-EAME.md;20;claude/acervo-to-package-intelligence-v1 claude/adama-es-commercial-intelligence-rqgy44 claude/adama-es-local-browser claude/adama-fr-local-catalog claude/adama-it-local-catalog claude/adama-italia-product-intelligence-deep;SIM;SIM;2026-08-28;1e3f5bb5e24e;426;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
ES-T4-005;Registro Oficial de Productos Fitosanitarios — rotas públicas;https://servicio.mapa.gob.es/regfiweb/;ATLAS-DE-FONTES-EAME.md;20;claude/acervo-to-package-intelligence-v1 claude/adama-es-commercial-intelligence-rqgy44 claude/adama-es-local-browser claude/adama-fr-local-catalog claude/adama-it-local-catalog claude/adama-italia-product-intelligence-deep;SIM;SIM;2026-08-28;1e3f5bb5e24e;426;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T10-001;ARPAV — Vendite fitosanitari (open data) + Rapporto annuale;https://www.arpa.veneto.it/dati-ambientali/open-data/fitosanitari;ATLAS-DE-FONTES-EAME.md;4;claude/cool-dijkstra-4agznu;SIM;SIM;2026-09-07;bd531977bf22;30;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T10-001;ISTAT — Distribuzione per uso agricolo dei prodotti fitosanitari;https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_22_DF_DCSP_FITOSANITARI_1,;ATLAS-DE-FONTES-EAME.md;1;claude/cool-dijkstra-4agznu;SIM;SIM;2026-09-07;bd531977bf22;30;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T10-001;ISMEA Mercati — preços por produto e praça;https://www.ismeamercati.it;ITALY-SOURCE-MASTER-V1.json;1;claude/admiring-sagan-5zi0v3 claude/admission-intelligence-boundary-study-v1 claude/admission-labeled-corpus-census-v1 claude/biblia-canonica-da-coleta claude/card-contract-law-v1 claude/cards-sensors-census-v1;NAO;NAO;2026-09-07;bd531977bf22;30;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T10-002;OpenStreetMap, via Overpass API + Nominatim;https://overpass.kumi.systems/api/interpreter;ATLAS-DE-FONTES-EAME.md;2;claude/cool-dijkstra-4agznu;SIM;SIM;2026-09-07;bd531977bf22;90;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T10-002;BMTI — analisi di mercato cereali;https://www.bmti.it;ITALY-SOURCE-MASTER-V1.json;1;claude/admiring-sagan-5zi0v3 claude/admission-intelligence-boundary-study-v1 claude/admission-labeled-corpus-census-v1 claude/biblia-canonica-da-coleta claude/card-contract-law-v1 claude/cards-sensors-census-v1;NAO;NAO;2026-09-07;bd531977bf22;90;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T10-002;;;ITALY-SOURCE-MASTER-V1.json;1;claude/admiring-sagan-5zi0v3 claude/admission-intelligence-boundary-study-v1 claude/admission-labeled-corpus-census-v1 claude/biblia-canonica-da-coleta claude/card-contract-law-v1 claude/cards-sensors-census-v1;NAO;NAO;2026-09-07;bd531977bf22;90;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T10-003;ISTAT — Distribuzione per uso agricolo dei prodotti fitosanitari;https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_22_DF_DCSP_FITOSANITARI_1,;ATLAS-DE-FONTES-EAME.md;1;claude/cool-dijkstra-4agznu;SIM;SIM;2026-09-07;bd531977bf22;24;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T10-003;ISTAT — commercio estero (import/export agrícola);https://www.coeweb.istat.it;ITALY-SOURCE-MASTER-V1.json;1;claude/admiring-sagan-5zi0v3 claude/admission-intelligence-boundary-study-v1 claude/admission-labeled-corpus-census-v1 claude/biblia-canonica-da-coleta claude/card-contract-law-v1 claude/cards-sensors-census-v1;NAO;NAO;2026-09-07;bd531977bf22;24;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T4-001;Fitosanitari — elenco dei prodotti fitosanitari autorizzati;https://www.dati.salute.gov.it/it/dataset/fitosanitari/;ATLAS-DE-FONTES-EAME.md;28;claude/acervo-to-package-intelligence-v1 claude/adama-es-commercial-intelligence-rqgy44 claude/adama-es-local-browser claude/adama-fr-local-catalog claude/adama-it-local-catalog claude/adama-italia-product-intelligence-deep;SIM;SIM;2026-08-28;d7b289425c5e;4033;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T4-001;ARPAV — Vendite fitosanitari (open data) + Rapporto annuale;https://www.arpa.veneto.it/dati-ambientali/open-data/fitosanitari;ATLAS-DE-FONTES-EAME.md;4;claude/cool-dijkstra-4agznu;SIM;SIM;2026-08-28;d7b289425c5e;4033;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T4-001;IT-T4-001-ETICHETTA · Ministero della Salute — etichetta autorizzata;;ATLAS-DE-FONTES-EAME.md;4;claude/passport-tags-italy-v1 claude/sintonia-italy-pilot-b1l401 salvaguarda/portal-canonico-2nknje sintonia/canonical;SIM;SIM;2026-08-28;d7b289425c5e;4033;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T4-001;Ministero della Salute — banca dati prodotti fitosanitari;https://www.dati.salute.gov.it/it/dataset/fitosanitari/;ITALY-SOURCE-MASTER-V1.json;1;claude/admiring-sagan-5zi0v3 claude/admission-intelligence-boundary-study-v1 claude/admission-labeled-corpus-census-v1 claude/biblia-canonica-da-coleta claude/card-contract-law-v1 claude/cards-sensors-census-v1;NAO;NAO;2026-08-28;d7b289425c5e;4033;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
IT-T4-001;;;ITALY-SOURCE-MASTER-V1.json;1;claude/admiring-sagan-5zi0v3 claude/admission-intelligence-boundary-study-v1 claude/admission-labeled-corpus-census-v1 claude/biblia-canonica-da-coleta claude/card-contract-law-v1 claude/cards-sensors-census-v1;NAO;NAO;2026-08-28;d7b289425c5e;4033;⚠️ IDENTITY_COLLISION VIVA: duas afirmacoes diferentes estao em pontas ativas. NAO resolver aqui — renomear quebraria referencias.
