SOURCE_ID;IRMAOS;NOME;URL;FIRST_ASSIGNMENT;CLASSIFICACAO
ES-T4-001;ES-T4-002;Jerarquía de especies vegetales · Clasificación de plagas;https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/;d7b289425c5e 2026-08-28;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T4-002;ES-T4-001;Autorizaciones excepcionales vigentes;UNKNOWN;d7b289425c5e 2026-08-28;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T4-003;ES-T4-005;Registro de Productos Fitosanitarios — aplicação de consulta;https://www.mapa.gob.es/es/agricultura/temas/sanidad-vegetal/;d7b289425c5e 2026-08-28;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-001;ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-002;ES-T7-001 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-003;ES-T7-001 ES-T7-002 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-004;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-005;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-006;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-007;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
