SOURCE_ID,SOURCE_NAME,TERRITORY,ROTAS_PROVADAS,MIME,ROTA_EXEMPLO,BYTES_GUARDADOS_EM_DISCO,O_QUE_O_CONTRATO_AINDA_TEM_DE_DIZER,EVIDENCIA
IT-T1-001,ISTAT — coltivazioni (SDMX / esploradati),T1,1,application/vnd.sdmx.data+csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015_DF_DCSP_COLTIVAZIONI_2,1.0/?startPeriod=2025&endPeriod=2025",SIM,"cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-001/MANIFEST.json
IT-T1-002,Provincia autonoma di Trento — Agricoltura,T1,1,text/html,https://www.provincia.tn.it/News/Eventi/AUTONOMIA-2026.-Il-Cammino-della-Comunita-trentina,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-002/MANIFEST.json
IT-T1-003,Regione Toscana — Agricoltura,T1,1,text/html,https://www.regione.toscana.it/regione/approfondimenti,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-003/MANIFEST.json
IT-T1-004,Liguria — Regione Liguria agricoltura,T1,1,text/html,https://www.regione.liguria.it/homepage-attivita-istituzionale/atti-di-notifica/avvisi-atti-notifica.html,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-004/MANIFEST.json
IT-T1-005,Umbria — Agricoltura e foreste,T1,1,text/html,https://www.regione.umbria.it/notizie/-/asset_publisher/54m7RxsCDsHr/content/celebrazioni-del-165-anniversario-dell-ente-santa-croce-maria-montessori-di-perugia?read_more=true,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-005/MANIFEST.json
IT-T1-006,ARSAC Calabria — Azienda Regionale per lo Sviluppo dell'Agricoltura Calabrese,T1,1,text/html,https://arsac.calabria.it/bollettino-agrometeorologico-e-fitosanitario-agrumi-olivo-vite-e-kiwi-valido-fino-al-4-agosto-2026/,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-006/MANIFEST.json
IT-T1-007,ARSIAL — Agenzia Regionale Sviluppo Innovazione Agricoltura Lazio,T1,1,text/html,https://www.arsial.it/bandi-e-avvisi/avvisi-per-privati/,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-007/MANIFEST.json
IT-T1-008,Agricoltura Regione Lombardia,T1,1,application/pdf,https://www.ersaf.lombardia.it/wp-content/uploads/2024/08/SEO31_31-07-20241.pdf,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-008/MANIFEST.json
IT-T1-009,Lazio — Agricoltura Regione Lazio,T1,1,text/html,https://www.regione.lazio.it/notizie/agricoltura/pn-feampa-2021-2027-intervento-222507-approvazione-bando,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-009/MANIFEST.json
IT-T1-010,Regione Abruzzo — Agricoltura,T1,1,text/html,http://www.regione.abruzzo.it/notizie/validati-i-nuovi-atti-aziendali-delle-4-asl-regionali,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-010/MANIFEST.json
IT-T1-011,Regione Umbria — Agricoltura,T1,1,text/html,https://www.regione.umbria.it/agricoltura/notizia/-/asset_publisher/PVUq7ammJALj/content/legge-serpieri?read_more=true,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-011/MANIFEST.json
IT-T1-012,Regione Valle d'Aosta — Agricoltura,T1,1,text/html,https://www.regione.vda.it/amministrazionetrasparente/personale/pubblicazioneincarichidirigenziali/default_i.aspx,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-012/MANIFEST.json
IT-T1-013,Assosementi,T1,1,text/html,https://www.sementi.it/comunicati_stampa/seme-in-natura-certificato-e-pulito-tara-0-di-erba-medica-confermato-a-280-e-kg-il-prezzo-orientativo-per-la-campagna-2026/,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-013/MANIFEST.json
IT-T1-014,Ente Nazionale Risi,T1,1,text/html,http://www.enterisi.it/servizi/notizie/notizie_fase01.aspx?categoriaVisualizzata=19,"NAO — o item foi aberto e resumido (com SHA256 do que foi lido), os bytes nao ficaram","cadencia · o que fazer quando quebrar · campos esperados · dono que responde — nada disto esta medido, e nenhum e adivinhavel a partir da rota",data/samples/IT-SOURCE-SAMPLES/IT-T1-014/MANIFEST.json
