TIPO,PAIS,NOME,URL,PARA_QUE_SERVE,QUEM_VIU,ONDE_VIU,NOTA
OUTRO,IT,snpambiente.it — Un nuovo servizio informativo per i viticoltori valdostani - SNPA - Sistema nazi,https://www.snpambiente.it/notizie/temi/settori-produttivi/agricoltura/agrometeo-vda/,"avisa praga e doenca · mede tempo, agua ou solo · diz o que se planta e quanto sai · diz o que esta autorizado · publica ensaio e pesquisa · anuncia evento tecnico — em vite, riso, frutta, pero — alimenta T2","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",WebSearch (busca por palavra) | http://qualitadellaria.arpa.sicilia.it:8080 | http://www.arpa.marche.it/bollettino-ozono | https://api.arpa.veneto.it/,CANDIDATA classe B em 2026-09-14; proximidade=PRIMARY; recorrencia=HIGH; regiao=ITALIA (AFIRMADA NA LEITURA HUMANA — ver QUALITY_REASON); SOURCE_ID nao atribuido — nasce na porta canonica; TIPO=OUTRO porque a gaveta NAO foi provada: o dominio nao e institucional e ninguem leu esta fonte a mao. O que a maquina detetou na pagina foi [AGENZIA_REGIONALE;REGIONE;MIDIA_TECNICA;EMPRESA_INSUMOS;ESTADO_NAC
BASE_OFICIAL,IT,"masaf.gov.it — Masaf - MASAF - Ministero dell'agricoltura, della sovranità alimentare e delle f",https://www.masaf.gov.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/202,"diz o que se planta e quanto sai · mostra a politica agricola — em vite, riso (territorio citado: CALABRIA;LAZIO;PIEMONTE) — alimenta T4;T12;T1","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",WebSearch (busca por palavra) | https://agricoltura.regione.emilia-romagna.it/fitosanitario/difesa-sostenibile/uso-sostenibile | https://agricolturamoderna.it/ | https://agricolturamoderna.it/limone-di-siracusa-igp-a-gon,CANDIDATA classe A em 2026-09-14; proximidade=PRIMARY; recorrencia=MEDIUM; regiao=ITALIA (AFIRMADA NA LEITURA HUMANA — ver QUALITY_REASON); SOURCE_ID nao atribuido — nasce na porta canonica
BASE_OFICIAL,IT,fg.camcom.it — Borsa merci prodotti cerealicoli | CCIAA di Foggia,https://www.fg.camcom.it/servizi/borsa-merci-prodotti-cerealicoli,"diz o que se planta e quanto sai · esta ao lado de quem aplica · acompanha preco e mercado · anuncia evento tecnico — em olivo, cereali, frumento duro (territorio citado: LAZIO;PUGLIA) — alimenta T10","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",WebSearch (busca por palavra) | https://agrilevante.eu/ | https://olivonews.it/category/aipo/ | https://olivonews.it/category/associazioni/,CANDIDATA classe A em 2026-09-14; proximidade=PRIMARY; recorrencia=HIGH; regiao=PUGLIA (AFIRMADA NA LEITURA HUMANA — ver QUALITY_REASON); SOURCE_ID nao atribuido — nasce na porta canonica
BASE_OFICIAL,IT,"sar.sardegna.it — ARPAS, IMC - Bollettino Fenologico",https://www.sar.sardegna.it/servizi/agro/bollfenologico.asp,"avisa praga e doenca · mede tempo, agua ou solo · diz o que se planta e quanto sai · diz o que esta autorizado (territorio citado: SARDEGNA;SICILIA) — alimenta T3;T2;T1;T4","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",WebSearch (busca por palavra) | http://www.sardegnaagricoltura.it/innovazionericerca/ | https://sardegnaagricoltura.it/ | https://sardegnaagricoltura.it/innovazionericerca/,CANDIDATA classe B em 2026-09-14; proximidade=PRIMARY; recorrencia=MEDIUM; regiao=SARDEGNA;SICILIA (TEXTO_DA_PAGINA (2 regioes citadas)); SOURCE_ID nao atribuido — nasce na porta canonica
IMPRENSA,OUTRO,tecnichenuove.com — Edagricole | Tecniche Nuove,https://www.tecnichenuove.com/editori/edagricole,"diz o que se planta e quanto sai · publica ensaio e pesquisa · anuncia evento tecnico · mostra a politica agricola — em riso, melo, pero (territorio citado: EMILIA-ROMAGNA;LAZIO;LOMBARDIA;PUGLIA;TOSCANA) — alimenta T8;T1;T3","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",https://macchineagricolenews.edagricole.it/ | https://olivoeolio.edagricole.it/ | https://olivoeolio.edagricole.it/agrofarmaci-difesa/ | https://olivoeolio.edagricole.it/agrofarmaci-difesa/microfighter-meno-rame-contro-r,CANDIDATA classe B em 2026-09-14; proximidade=PRIMARY; recorrencia=LOW; regiao=EMILIA-ROMAGNA;LAZIO;LOMBARDIA;PUGLIA;TOSCANA (TEXTO_DA_PAGINA (5 regioes citadas)); SOURCE_ID nao atribuido — nasce na porta canonica
BASE_OFICIAL,IT,agricoltura.regione.emilia-romagna.it — Bollettini territoriali di produzione integrata e biologica - Fitosanitario e di,https://agricoltura.regione.emilia-romagna.it/fitosanitario/difesa-sostenibile/bollettini,"avisa praga e doenca · mede tempo, agua ou solo · diz o que se planta e quanto sai · publica ensaio e pesquisa · mostra a voz do produtor · acompanha preco e mercado · mostra a politica agricola — em riso — alimenta T3;T4;T2","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",WebSearch (busca por palavra) | https://arpae.it/ | https://crpv.it/ | https://rinova.eu/it/azienda/astra-innovazione-e-sviluppo/,CANDIDATA classe A em 2026-09-14; proximidade=PRIMARY; recorrencia=HIGH; regiao=EMILIA-ROMAGNA (AFIRMADA NA LEITURA HUMANA — ver QUALITY_REASON); SOURCE_ID nao atribuido — nasce na porta canonica
BASE_OFICIAL,IT,crea.gov.it — Home - Politiche e Bioeconomia - CREA,https://www.crea.gov.it/web/politiche-e-bioeconomia,"avisa praga e doenca · diz o que se planta e quanto sai · publica ensaio e pesquisa · acompanha preco e mercado · mostra a politica agricola — em vite, olivo, cereali, riso (territorio citado: LAZIO;SARDEGNA;SICILIA) — alimenta T3;T1;T5;T10;T12","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",WebSearch (busca por palavra) | WebSearch (busca por palavra) | WebSearch (busca por palavra) | WebSearch (busca por palavra),CANDIDATA classe B em 2026-09-14; proximidade=PRIMARY; recorrencia=MEDIUM; regiao=LAZIO;SARDEGNA;SICILIA (TEXTO_DA_PAGINA (3 regioes citadas)); SOURCE_ID nao atribuido — nasce na porta canonica
BASE_OFICIAL,IT,arpa.umbria.it — Arpa Umbria,https://www.arpa.umbria.it/,"avisa praga e doenca · publica ensaio e pesquisa · esta ao lado de quem aplica · mostra a voz do produtor · mostra a politica agricola — em riso, ortaggi (territorio citado: EMILIA-ROMAGNA;LAZIO;PIEMONTE;SICILIA;UMBRIA) — alimenta T3;T5;T7;T8;T12","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",WebSearch (busca por palavra) | WebSearch (busca por palavra) | https://arpa.marche.it/comunicazione/link-arpa | https://dsa3.unipg.it/didattica/strutture,CANDIDATA classe B em 2026-09-14; proximidade=PRIMARY; recorrencia=MEDIUM; regiao=EMILIA-ROMAGNA;LAZIO;PIEMONTE;SICILIA;UMBRIA (TEXTO_DA_PAGINA (5 regioes citadas)); SOURCE_ID nao atribuido — nasce na porta canonica
OUTRO,IT,ciacalabria.it — Home - Cia Calabria,https://www.ciacalabria.it/,"publica ensaio e pesquisa — em riso, melo (territorio citado: CALABRIA) — alimenta T5","claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",https://cia.it/ | https://cia.it/associazioni-cia/agia/ | https://cia.it/associazioni-cia/aidaldo-invalidi-e-datori-lavoro-domestico/ | https://cia.it/associazioni-cia/anp/,"CANDIDATA classe B em 2026-09-14; proximidade=NEAR_PRIMARY; recorrencia=MEDIUM; regiao=CALABRIA (TEXTO_DA_PAGINA (uma regiao citada)); SOURCE_ID nao atribuido — nasce na porta canonica; TIPO=OUTRO porque a gaveta NAO foi provada: o dominio nao e institucional e ninguem leu esta fonte a mao. O que a maquina detetou na pagina foi [COOPERATIVA_OP;ASSOCIACAO_AGRICOLA], e deteccao por palavra diz de qu"
OUTRO,OUTRO,ciacampania.org — Cia Campania,http://www.ciacampania.org/,mostra a politica agricola — em riso (territorio citado: CAMPANIA;LOMBARDIA) — alimenta T12,"claude-code (missao ITALY-DEEP-SOURCE-RESEARCH, 2026-09-14)",https://cia.it/ | https://cia.it/associazioni-cia/agia/ | https://cia.it/associazioni-cia/aidaldo-invalidi-e-datori-lavoro-domestico/ | https://cia.it/associazioni-cia/anp/,CANDIDATA classe B em 2026-09-14; proximidade=PRIMARY; recorrencia=LOW; regiao=CAMPANIA;LOMBARDIA (TEXTO_DA_PAGINA (2 regioes citadas)); SOURCE_ID nao atribuido — nasce na porta canonica; TIPO=OUTRO porque a gaveta NAO foi provada: o dominio nao e institucional e ninguem leu esta fonte a mao. O que a maquina detetou na pagina foi [AGENZIA_REGIONALE;ASSOCIACAO_AGRICOLA;MIDIA_TECNICA;EMPRESA_INSUMOS
