ORDEM,NOME,TIPO,OWNER,URL_CANONICAL,TERRITORIES,REGION,QUALIFICATION_SCORE,AUTOMATION_SCORE,WHY_FIRST,EXPECTED_VALUE
1,Emilia-Romagna — Servizio Fitosanitario,BASE_OFICIAL,Regione Emilia-Romagna,https://agricoltura.regione.emilia-romagna.it/fitosanitario,T3;T4,EMILIA-ROMAGNA,100.0,5,"servico fitossanitario / defesa vegetal · e' o dono do dado, nao um intermediario · rota tecnica previsivel (sinais de rota estruturada na pagina: OPENDATA) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, rota tecnica previsivel · cobre T3, T4"
2,Servizio Fitosanitario Nazionale — Protezione delle Piante,BASE_OFICIAL,MASAF — Servizio Fitosanitario Centrale,https://www.protezionedellepiante.it/,T3;T4,NAZIONALE,100.0,5,"servico fitossanitario / defesa vegetal · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel, feed declarado · cobre T3, T4"
3,Toscana — Servizio Fitosanitario Regionale,BASE_OFICIAL,Regione Toscana,https://www.regione.toscana.it/,T3;T4,TOSCANA,100.0,5,"servico fitossanitario / defesa vegetal · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API, OPENDATA) · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T3, T4"
4,Veneto — Servizio Fitosanitario Regionale,BASE_OFICIAL,Regione Veneto,https://www.regione.veneto.it/web/agricoltura-e-foreste,T3;T4,VENETO,100.0,5,"servico fitossanitario / defesa vegetal · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-07 (7d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T3, T4"
5,ARPA Campania,BASE_OFICIAL,ARPAC,https://www.arpacampania.it/,T2;T12,CAMPANIA,97.0,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-08 (6d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: OPENDATA) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T2, T12"
6,ARPA Sicilia,BASE_OFICIAL,ARPA Sicilia,https://www.arpa.sicilia.it/,T2;T12,SICILIA,97.0,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-14 (0d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · dono com um unico canal nesta base: nao repete ninguem · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T2, T12"
7,ARPAT Toscana,BASE_OFICIAL,ARPAT,https://www.arpat.toscana.it/,T2;T12,TOSCANA,97.0,5,"agrometeorologia / clima / ambiente regional · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-08-22 (23d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 2 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T2, T12"
8,ISPRA — Istituto Superiore per la Protezione e la Ricerca Ambientale,BASE_OFICIAL,ISPRA,https://www.isprambiente.gov.it/it,T2;T12,NAZIONALE,97.0,5,"instituto nacional de investigacao · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-11 (3d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: OPENDATA) · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T2, T12"
9,Provincia autonoma di Trento — Agricoltura,BASE_OFICIAL,Provincia autonoma di Trento,https://www.provincia.tn.it/,T1;T4,TRENTINO-ALTO ADIGE,97.0,5,"agencia regional agricola · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-12 (2d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API, OPENDATA) · canal institucional do dono (o grupo tem 6 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T1, T4"
10,Regione Toscana — Agricoltura,BASE_OFICIAL,Regione Toscana,https://www.regione.toscana.it/agricoltura-e-alimentazione,T1;T4;T12,TOSCANA,97.0,5,"orgao agricola regional / politica agricola · e' o dono do dado, nao um intermediario · publica com frequencia alta (data visivel de 2026-09-12 (2d) — publicacao muito recente) · rota tecnica previsivel (sinais de rota estruturada na pagina: API) · canal institucional do dono (o grupo tem 3 canais) — e' onde vive o sinal tecnico · endereco CANONICAL","dono do dado, nao intermediario, sinal agricola denso, publica com frequencia alta, rota tecnica previsivel · cobre T1, T4, T12"
