TIPO,PAIS,NOME,URL,PARA_QUE_SERVE,QUEM_VIU,ONDE_VIU,NOTA
BASE_OFICIAL,IT,ARTA Abruzzo,https://www.artaabruzzo.it/,"base/registro oficial de ARTA Abruzzo sobre ambiente, monitoraggio — alimenta T2 (clima/acqua/suolo), T12 (politica e ambiente agricola)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'arpa' e verificada por sonda HTTP,CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
BASE_OFICIAL,IT,Regione Abruzzo — Agricoltura,https://www.regione.abruzzo.it/,"base/registro oficial de Regione Abruzzo sobre agricoltura, PSR — alimenta T1 (cultura e producao), T4 (regulatorio)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'regione_agricoltura' e verificada por sonda HTTP,endereco corrigido: caminho devolve 404; raiz responde · cadeia TLS incompleta no servidor; validado com o intermediario obtido por AIA · CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
BASE_OFICIAL,IT,ARPA Basilicata,https://www.arpab.it/,"base/registro oficial de ARPAB sobre ambiente, monitoraggio — alimenta T2 (clima/acqua/suolo), T12 (politica e ambiente agricola)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'arpa' e verificada por sonda HTTP,CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
BASE_OFICIAL,IT,ARPACAL Calabria,https://www.arpacal.it/,"base/registro oficial de ARPACAL sobre ambiente, agrometeorologia, CFM — alimenta T2 (clima/acqua/suolo), T12 (politica e ambiente agricola)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'arpa' e verificada por sonda HTTP,CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
BASE_OFICIAL,IT,ARSAC Calabria — Azienda Regionale per lo Sviluppo dell'Agricoltura Calabrese,https://www.arsac.calabria.it/,"base/registro oficial de Regione Calabria sobre assistenza tecnica, divulgazione, fitosanitario — alimenta T1 (cultura e producao), T7 (rede tecnica), T3 (praga, doenca e infestanti)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'agenzia_regionale' e verificada por sonda HTTP,CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
BASE_OFICIAL,IT,Calabria — Dipartimento Agricoltura,https://www.regione.calabria.it/website/portaltemplates/view/view.cfm?21,"base/registro oficial de Regione Calabria sobre agricoltura, PSR — alimenta T1 (cultura e producao), T4 (regulatorio)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'regione_agricoltura' e verificada por sonda HTTP,CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
BASE_OFICIAL,IT,ARPA Campania,https://www.arpacampania.it/,"base/registro oficial de ARPAC sobre ambiente, acque, meteo — alimenta T2 (clima/acqua/suolo), T12 (politica e ambiente agricola)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'arpa' e verificada por sonda HTTP,CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
BASE_OFICIAL,IT,Borsa Merci Bologna — Camera di Commercio,https://www.bo.camcom.gov.it/,"base/registro oficial de Camera di Commercio di Bologna sobre prezzi, cereali, borsa merci — alimenta T10 (mercado e industria)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'mercado' e verificada por sonda HTTP,endereco corrigido: caminho devolve 404; raiz responde · CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
BASE_OFICIAL,IT,Emilia-Romagna — Servizio Fitosanitario,https://agricoltura.regione.emilia-romagna.it/fitosanitario,"base/registro oficial de Regione Emilia-Romagna sobre servizio fitosanitario, bollettini — alimenta T3 (praga, doenca e infestanti), T4 (regulatorio)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'servizio_fitosanitario' e verificada por sonda HTTP,"mesmo dono ja' no acervo, canal diferente · CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)"
BASE_OFICIAL,IT,Fitogest — banca dati agrofarmaci,https://fitogest.imagelinenetwork.com/,"base/registro oficial de Image Line sobre agrofarmaci, etichette, registro — alimenta T4 (regulatorio), T3 (praga, doenca e infestanti)","claude-code (missao ITALY-200-SOURCES-DISCOVERY, 2026-09-14)",descoberta por familia de fonte 'base_dados' e verificada por sonda HTTP,CANDIDATA validada em 2026-09-14; SOURCE_ID nao atribuido (nasce na porta canonica)
