INPUT_NAME,INPUT_URL,OWNER,CANONICAL_URL,QUALIFICATION_SCORE,PRIORITY,VALIDATION_RESULT,REAL_EXAMPLE,EVIDENCE_PATH,SOURCE_ID,ATLAS_STATUS,DATABASE_STATUS,VERDICT,REASON
Emilia-Romagna — Servizio Fitosanitario,https://agricoltura.regione.emilia-romagna.it/fitosanitario,Regione Emilia-Romagna,https://agricoltura.regione.emilia-romagna.it/fitosanitario,100,P1,REGISTERED,"Bollettini interprovinciali di produzione integrata e biologica 2026 - Fitosanitario e difesa delle produzioni - Agricoltura, caccia e pesca",data/samples/IT-SOURCE-SAMPLES/IT-T3-013/MANIFEST.json,IT-T3-013,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,YELLOW,frequencia de atualizacao por provar
Servizio Fitosanitario Nazionale — Protezione delle Piante,https://www.protezionedellepiante.it/,MASAF — Servizio Fitosanitario Centrale,https://www.protezionedellepiante.it/,100,P1,REGISTERED,Articoli Archivi - Protezione delle piante,data/samples/IT-SOURCE-SAMPLES/IT-T3-014/MANIFEST.json,IT-T3-014,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Toscana — Servizio Fitosanitario Regionale,https://www.regione.toscana.it/,Regione Toscana,https://www.regione.toscana.it/,100,P1,REGISTERED,Approfondimenti - Regione Toscana,data/samples/IT-SOURCE-SAMPLES/IT-T3-015/MANIFEST.json,IT-T3-015,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Veneto — Servizio Fitosanitario Regionale,https://www.regione.veneto.it/web/agricoltura-e-foreste,Regione Veneto,https://www.regione.veneto.it/web/agricoltura-e-foreste,100,P1,REGISTERED,Newsletter - Regione del Veneto,data/samples/IT-SOURCE-SAMPLES/IT-T3-016/MANIFEST.json,IT-T3-016,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARPA Campania,https://www.arpacampania.it/,ARPAC,https://www.arpacampania.it/,97,P1,REGISTERED,News - Arpac,data/samples/IT-SOURCE-SAMPLES/IT-T2-006/MANIFEST.json,IT-T2-006,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARPA Sicilia,https://www.arpa.sicilia.it/,ARPA Sicilia,https://www.arpa.sicilia.it/,97,P1,REGISTERED,Pubblicazioni - Arpa Sicilia,data/samples/IT-SOURCE-SAMPLES/IT-T2-007/MANIFEST.json,IT-T2-007,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ARPAT Toscana,https://www.arpat.toscana.it/,ARPAT,https://www.arpat.toscana.it/,97,P1,REGISTERED,Centrali geotermiche della Toscana – Anno 2025 - ARPAT,data/samples/IT-SOURCE-SAMPLES/IT-T2-008/MANIFEST.json,IT-T2-008,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
ISPRA — Istituto Superiore per la Protezione e la Ricerca Ambientale,https://www.isprambiente.gov.it/,ISPRA,https://www.isprambiente.gov.it/it,97,P1,REGISTERED,https://www.isprambiente.gov.it/it/files/iso_9001-ita-c859101-2-20260709.pdf,data/samples/IT-SOURCE-SAMPLES/IT-T2-009/MANIFEST.json,IT-T2-009,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Provincia autonoma di Trento — Agricoltura,https://www.provincia.tn.it/,Provincia autonoma di Trento,https://www.provincia.tn.it/,97,P1,REGISTERED,AUTONOMIA 2026. Il Cammino della Comunità trentina - Provincia autonoma di Trento,data/samples/IT-SOURCE-SAMPLES/IT-T1-002/MANIFEST.json,IT-T1-002,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
Regione Toscana — Agricoltura,https://www.regione.toscana.it/agricoltura,Regione Toscana,https://www.regione.toscana.it/agricoltura-e-alimentazione,97,P1,REGISTERED,Approfondimenti - Regione Toscana,data/samples/IT-SOURCE-SAMPLES/IT-T1-003/MANIFEST.json,IT-T1-003,FICHA_ESCRITA,NOT_AVAILABLE — sem credenciais do Supabase nesta sessao,GREEN,"aberta, exemplo real observado e preservado"
