Prodotti fitosanitari venduti nell'anno 2014 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2014, art. 16 D.Lgs. 150/2012);;;;;;;Sostanze attive vendute nell'anno 2014 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2014, art. 16 D.Lgs. 150/2012);;;;;
(le elaborazioni eseguite si riferiscono alle informazioni contenute nella Banca Dati prodotti fitosanitari del Ministero della Salute  al 01/01/2015);;;;;;;(le elaborazioni eseguite si riferiscono alle informazioni contenute nella Banca Dati prodotti fitosanitari del Ministero della Salute  al 01/01/2015);;;;;
Provincia ULSS;Azienda ULSS;N. Reg. ;Nome Prodotto venduto;Quantità (Kg o litri);;;Azienda ULSS;Provincia ULSS;Sostanza attiva venduta;Quantità (Kg);;
;;;;;;;;;;;;
BL;1;1583;MICROTHIOL DISPERSS;25;;;1;BL;2,4-D;0,49;;
BL;1;1850;IDRORAME FLOW;43;;;1;BL;2,4-D (SALE DIMETILAMMINICO);1,54;;
BL;1;2259;PASTA LUMACHICIDA IN GRANI;30;;;1;BL;ACETAMIPRID;0,05;;
BL;1;2923;TIOVIT JET;10;;;1;BL;ACLONIFEN;3,47;;
BL;1;2950;ADESIL A;11;;;1;BL;ALCOOL LAURILICO ETOSSILATO;0,01;;
BL;1;2972;BIODAST;4;;;1;BL;AMETOCTRADIN;0,6;;
BL;1;2983;NIMROD;0,25;;;1;BL;AMINOPYRALID;0,93;;
BL;1;2995;ESCARTOX;1660;;;1;BL;AZADIRACHTIN A (AZADIRACTINA A);0,01;;
BL;1;3065;OLIOCIN;201,5;;;1;BL;AZOXYSTROBIN;5,57;;
BL;1;3219;CARAKOL AGRO;394;;;1;BL;BACILLUS SUBTILIS (CEPPO QST 713);0,09;;
BL;1;3767;FENOXILENE MAX;1;;;1;BL;BIFENAZATE;0,01;;
BL;1;3800;CRITTAM WG;20;;;1;BL;BORDEAUX MIXTURE (RAME POLTIGLIA BORDOLESE);9,4;;
BL;1;4012;RELDAN 22;6,8;;;1;BL;BROMADIOLONE;0;;
BL;1;4157;IROL PLUS;57;;;1;BL;BUPIRIMATE;0,06;;
BL;1;4710;ALIETTE;3,75;;;1;BL;BUPROFEZIN;0,07;;
BL;1;5299;MIBIOL;52,5;;;1;BL;CARFENTRAZONE-ETHYL;0,26;;
BL;1;5467;METADENE;60;;;1;BL;CHLORANTRANILIPROLE;0,11;;
BL;1;6389;DUECI-FITO RADICANTE;0,7;;;1;BL;CHLORPYRIFOS;32,56;;
BL;1;6632;DIPPER;6;;;1;BL;CHLORPYRIFOS-METHYL;1,5;;
BL;1;6719;LIOSOL BETA;4;;;1;BL;CIFLUTRIN;0,01;;
BL;1;6751;RASEN FLORANID;120;;;1;BL;CLOPYRALID;0,08;;
BL;1;6945;TOPAS 10 EC;11,34;;;1;BL;COPPER HYDROXIDE (RAME IDROSSIDO);3,1;;
BL;1;6955;METACID;60;;;1;BL;COPPER OXIDE (RAME OSSIDO);0,75;;
BL;1;7369;SYLLIT FLO;14,5;;;1;BL;COPPER OXYCHLORIDE (RAME OSSICLORURO);90,38;;
BL;1;7530;BIOLID E;0,3;;;1;BL;COPPER SULFATE (RAME SOLFATO);234,28;;
BL;1;7732;KESHET EW;1;;;1;BL;CYMOXANIL;0,48;;
BL;1;7916;POLYRAM DF;10;;;1;BL;CYPERMETHRIN;0;;
BL;1;7922;OPALENE;109;;;1;BL;CYPRODINIL;1,38;;
BL;1;8001;AGRO-PYR;1,34;;;1;BL;CYPROSULFAMIDE;20,04;;
BL;1;8117;BASTA 200;10;;;1;BL;DELTAMETHRIN;0,67;;
BL;1;8184;CHALLENGE;7;;;1;BL;DENATHONIUM BENZOATE (DENATONIO BENZOATO);0,12;;
BL;1;8189;FORCE;180;;;1;BL;DICAMBA;49,53;;
BL;1;8201;GLISTER;7;;;1;BL;DICAMBA SALE DIMETILAMMINICO;0,12;;
BL;1;8207;LONTREL 75 G;0,1;;;1;BL;DICAMBA SALE SODICO;3,39;;
BL;1;8382;ROUNDUP BIOFLOW;213,48;;;1;BL;DIFENOCONAZOLE;0,3;;
BL;1;8429;GLYFOS SL;10;;;1;BL;DIMETHOATE;0,33;;
BL;1;8540;PAMPA/GHIBLI;20;;;1;BL;DIMETHOMORPH;4,28;;
BL;1;8542;FORUM 50 WP;3,4;;;1;BL;DITHIANON;4,9;;
BL;1;8565;ROUNDUP RTU;5;;;1;BL;DODINE;11,88;;
BL;1;8646;ACTIVUS EC/PANDA;7;;;1;BL;ETOXAZOLE;0,05;;
BL;1;8656;GLIFENE HP;238;;;1;BL;FENOXAPROP-P-ETHYL;0,11;;
BL;1;8726;OVISPRAY;6;;;1;BL;FERRIC PHOSPHATE (FOSFATO FERRICO);1,9;;
BL;1;8743;GREENEX;4,1;;;1;BL;FLUDIOXONIL;0,25;;
BL;1;8801;SCORE 25 EC;1,28;;;1;BL;FLUFENACET;1,26;;
BL;1;8841;CYREN 7,5 G;148;;;1;BL;FLUOPICOLIDE;0,48;;
BL;1;8859;MASTIFF;100;;;1;BL;FLUROXYPYR;3,25;;
BL;1;8984;GLIPHOGAN TOP MK;20;;;1;BL;FLUVALINATE;0,02;;
BL;1;8987;CONFIDOR 200 SL;4,63;;;1;BL;FOSETYL-ALUMINIUM;16,98;;
BL;1;9126;CONCORDE COMBI;1;;;1;BL;GLUFOSINATE-AMMONIUM;1,8;;
BL;1;9330;GLIFO 41;14,5;;;1;BL;GLYPHOSATE (GLIFOSATE);1.368,32;;
BL;1;9364;RAPIDO;71;;;1;BL;HEXYTHIAZOX;0;;
BL;1;9373;CHORUS;2;;;1;BL;IMAZAMOX;1;;
BL;1;9422;EVADE;1,2;;;1;BL;IMIDACLOPRID;3,42;;
BL;1;9463;KLARO KIT;376;;;1;BL;IPROVALICARB;0,03;;
BL;1;9578;SWITCH;1;;;1;BL;ISOXAFLUTOLE;30,51;;
BL;1;9673;SEPRA-BAIT;38;;;1;BL;LAMBDA-CYHALOTHRIN;12,22;;
BL;1;9675;PANTOX 360;21;;;1;BL;MCPA;0,68;;
BL;1;9747;FURY;7,2;;;1;BL;MECOPROP-P;0,29;;
BL;1;9800;MAVRIK 20 EW;0,11;;;1;BL;MESOTRIONE;7,4;;
BL;1;9867;4 STAGIONI;2;;;1;BL;METAFLUMIZONE;0,15;;
BL;1;9940;ZELIG GR;210;;;1;BL;METALAXYL M;1,84;;
BL;1;9941;BUMPER P;5;;;1;BL;METALDEHYDE (METALDEIDE);178,79;;
BL;1;9954;JOKER;233;;;1;BL;METHOXYFENOZIDE;0,23;;
BL;1;10118;AMISTAR;20;;;1;BL;METIRAM;9,32;;
BL;1;10127;DECIS JET;7,55;;;1;BL;METRIBUZIN;6,37;;
BL;1;10158;PIREFLOR;0,45;;;1;BL;NAA;0;;
BL;1;10161;ORTIVA;4;;;1;BL;NICOSULFURON;12,37;;
BL;1;10184;TIMBREL EV;0,9;;;1;BL;OXADIAZON;0,16;;
BL;1;10230;LUMAPLUS;46;;;1;BL;OXYFLUORFEN;0,56;;
BL;1;10233;BORDOSEP;5;;;1;BL;PARAFFIN OIL/(CAS 64742-46-7);7,76;;
BL;1;10296;IPERION;74;;;1;BL;PARAFFIN OIL/(CAS 8042-47-5);290,64;;
BL;1;10372;RASIKAL QUICK;101;;;1;BL;PENCONAZOLE;1,16;;
BL;1;10456;KLARO ULTRA;271;;;1;BL;PENDIMETHALIN;9,19;;
BL;1;10494;PREMIUM TOP;33;;;1;BL;PIPERONYL BUTOXIDE (PIPERONIL BUTOSSIDO);0,04;;
BL;1;10581;CITRIN EC;0,04;;;1;BL;PROCHLORAZ;1,74;;
BL;1;10632;COBRE NORDOX SUPER 75 WG;1;;;1;BL;PROPAMOCARB;0,24;;
BL;1;10701;CUMETA FLOW;20;;;1;BL;PROPAQUIZAFOP;3,01;;
BL;1;10734;DUAL GOLD;32;;;1;BL;PROPICONAZOLE;0,39;;
BL;1;10735;PRIMAGRAM GOLD;67;;;1;BL;PYRETHRIN I;0,05;;
BL;1;10753;FOLICUR SE;15,85;;;1;BL;PYRETHRINS;0,15;;
BL;1;10799;OSSIRAM;1,1;;;1;BL;PYRIMETHANIL;0,01;;
BL;1;10973;PYRINEX PRONTO;7,5;;;1;BL;QUIZALOFOP-P-ETILE;0,01;;
BL;1;11045;DODIPREV 35;2,5;;;1;BL;RIMSULFURON;0,03;;
BL;1;11102;HELIOSOUFRE S;20,7;;;1;BL;SHEEP FAT (GRASSO DI PECORA);0,26;;
BL;1;11119;FLINT;0,06;;;1;BL;S-METOLACHLOR;173,36;;
BL;1;11253;CALLISTO;38;;;1;BL;SODIUM DIOCTYL SULFOSUCCINATE (AUTORIZZATO SOLO COME COADIUVANTE);1,53;;
BL;1;11307;AGRIRAT;5;;;1;BL;SORBITAN MONOLEATO;6,84;;
BL;1;11403;MELODY COMPACT;0,75;;;1;BL;SPINOSAD;0,07;;
BL;1;11449;GARDOPRIM GOLD;320;;;1;BL;SPIROTETRAMAT;0,2;;
BL;1;11497;CRITTOVIT WG;48;;;1;BL;SPIROXAMINE;1,55;;
BL;1;11523;SEPRADINA SC;0,7;;;1;BL;SULPHUR (ZOLFO);117,93;;
BL;1;11525;FUNGIDINA;15,8;;;1;BL;TEBUCONAZOLE;0,85;;
BL;1;11527;PYRINEX QUICK;0,72;;;1;BL;TEFLUTHRIN;1,34;;
BL;1;11561;NEEMAZAL T/S;1,22;;;1;BL;TERBUTHYLAZINE;87,62;;
BL;1;11586;TOP-AGAN;16;;;1;BL;TETRACONAZOLE;0,01;;
BL;1;11614;ACTARA 25 WG;2,65;;;1;BL;THIAMETHOXAM;0,66;;
BL;1;11638;FLUORATE;10,6;;;1;BL;THIENCARBAZONE-METHYL;11,97;;
BL;1;11690;GOAL 480 SC;0,5;;;1;BL;THIFENSULFURON-METHYL;0,12;;
BL;1;11796;GLIFAST;2,2;;;1;BL;TRIBASIC COPPER SULPHATE (RAME SOLFATO TRIBASICO);21,73;;
BL;1;11815;SHARK;3;;;1;BL;TRICLOPYR;1,2;;
BL;1;11979;BORDO 20 MICRO;41,6;;;1;BL;TRIFLOXYSTROBIN;0,03;;
BL;1;12010;TUAREG;27;;;1;BL;ZETA CYPERMETHRIN;0,26;;
BL;1;12020;SUCCESS;0,6;;;1;BL;ZIRAM;15,2;;
BL;1;12043;PREVICUR ENERGY;0,5;;;1;BL;ZOXAMIDE;0,09;;
BL;1;12068;TEFLUSTAR;216,5;;;2;BL;2,4-D;0,19;;
BL;1;12069;EPIK;1,02;;;2;BL;6-BENZYLADENINE;0,03;;
BL;1;12083;DANADIM PROGRESS;1,4;;;2;BL;ABAMECTIN;0;;
BL;1;12172;FERRAMOL;6;;;2;BL;ACETAMIPRID;0,24;;
BL;1;12202;ZEMIX R;2;;;2;BL;ACLONIFEN;2,98;;
BL;1;12279;ERBY 5 EC;0,05;;;2;BL;AMETOCTRADIN;1,68;;
BL;1;12325;MESUROL M PLUS;1321;;;2;BL;AMINOPYRALID;3,18;;
BL;1;12330;DEDALUS SE;1,2;;;2;BL;AZADIRACHTIN A (AZADIRACTINA A);0,02;;
BL;1;12437;DELAN 70 WG;7;;;2;BL;AZOXYSTROBIN;0,46;;
BL;1;12482;LUMAX;120;;;2;BL;BACILLUS THURINGIENSIS SOTTOSPECIE KURSTAKI CEPPO EG 2348;0,18;;
BL;1;12534;FOXTAIL;0,1;;;2;BL;BEAUVERIA BASSIANA;0,06;;
BL;1;12566;PYGANIC 1.4;0,48;;;2;BL;BORDEAUX MIXTURE (RAME POLTIGLIA BORDOLESE);34,86;;
BL;1;12629;BUGGY 360 SG N.E.T.;1;;;2;BL;BROMADIOLONE;0,01;;
BL;1;12636;QUASAR 6/24 R;43;;;2;BL;BUPROFEZIN;0;;
BL;1;12650;NUPRID 200 SL;0,14;;;2;BL;CARFENTRAZONE-ETHYL;0,13;;
BL;1;12671;HARMONY 50 SX;0,24;;;2;BL;CHLORPYRIFOS;106,1;;
BL;1;12686;CHAMAN;49;;;2;BL;CHLORPYRIFOS-METHYL;7,6;;
BL;1;12722;OSSICLOR 20 FLOW;6;;;2;BL;CLOPYRALID;0,23;;
BL;1;12737;AIRONE PIU';4;;;2;BL;COPPER HYDROXIDE (RAME IDROSSIDO);13,96;;
BL;1;12747;CUPRAVIT BLU WG;26,4;;;2;BL;COPPER OXYCHLORIDE (RAME OSSICLORURO);592,3;;
BL;1;12756;DICOTEX;7;;;2;BL;COPPER SULFATE (RAME SOLFATO);764,96;;
BL;1;12759;OSSICLOR 35 WG;38;;;2;BL;CYCLOXYDIM;0,21;;
BL;1;12779;RAMEDIT COMBI WG;12;;;2;BL;CYMOXANIL;10,11;;
BL;1;12806;FEDOR;3;;;2;BL;CYPERMETHRIN;0,13;;
BL;1;12808;GLOBAL SC;0,01;;;2;BL;CYPROCONAZOLE;0,11;;
BL;1;12859;BORNEO;0,01;;;2;BL;CYPRODINIL;1;;
BL;1;12883;PROSPER 300 CS;5;;;2;BL;CYPROSULFAMIDE;36,78;;
BL;1;12903;DOLESE WG;8;;;2;BL;DB-2,4;0,24;;
BL;1;12940;KARATE ZEON 1.5;16,5;;;2;BL;DELTAMETHRIN;0,85;;
BL;1;13026;SUSCON;0,5;;;2;BL;DENATHONIUM BENZOATE (DENATONIO BENZOATO);0,18;;
BL;1;13039;POTCLEAN 2G;8;;;2;BL;DICAMBA;65,51;;
BL;1;13046;SWING;0,5;;;2;BL;DICAMBA SALE DIMETILAMMINICO;0,02;;
BL;1;13093;STOMP AQUA;18;;;2;BL;DICAMBA SALE SODICO;28,36;;
BL;1;13133;NIBER 35 WG;17;;;2;BL;DIFENOCONAZOLE;0,23;;
BL;1;13149;POLTIGLIA MANICA 20 WG;10;;;2;BL;DIMETHOATE;2,2;;
BL;1;13212;CONFIDOR 200 O-TEQ;1,8;;;2;BL;DIMETHOMORPH;35,38;;
BL;1;13213;R6 ERRESEI ALBIS;11;;;2;BL;DODINE;28,25;;
BL;1;13242;NICOGAN V.O.;27;;;2;BL;ETOFENPROX;0,28;;
BL;1;13296;POKER 7,5;1;;;2;BL;FENAMIDONE;0,56;;
BL;1;13323;SULFY 80 WDG;21;;;2;BL;FENBUCONAZOLE;0,1;;
BL;1;13361;DECIS ENERGY O-TEQ;4,86;;;2;BL;FENHEXAMID;0,04;;
BL;1;13466;SPOTLIGHT PLUS;4;;;2;BL;FENOXAPROP-P-ETHYL;0,31;;
BL;1;13477;APHID/ZORRO;0,03;;;2;BL;FERRIC PHOSPHATE (FOSFATO FERRICO);1,42;;
BL;1;13522;SPIDER KILL;0,04;;;2;BL;FLUOPICOLIDE;4,44;;
BL;1;13586;VERDERAME 20 WG;38,4;;;2;BL;FLUROXYPYR;12,51;;
BL;1;13600;ZOLFO S.A.I.M. DOPPIO VENTILATO SCORREVOLE 95% MARCA FLORISTELLA;20;;;2;BL;FLUVALINATE;0,97;;
BL;1;13635;POLTIGLIA 20 PB MANICA;461;;;2;BL;FOLPET;18;;
BL;1;13648;SIARAM 20 WG;639;;;2;BL;FOSETYL-ALUMINIUM;142,97;;
BL;1;13651;SPECTRO;0,1;;;2;BL;GIBBERELLINS (A4+A7);0,03;;
BL;1;13702;GEOTOX 7,5 C;64,3;;;2;BL;GLUFOSINATE-AMMONIUM;1,8;;
BL;1;13711;QUIZA 5 EC;0,2;;;2;BL;GLYPHOSATE (GLIFOSATE);1.439,74;;
BL;1;13823;ALVERDE;0,67;;;2;BL;GLYPHOSATE ISOPROPYLAMINE (GLIFOSATE SALE ISOPROPILAMINICO);2,52;;
BL;1;13857;CRODIX GEO/MINUET GEO;17,25;;;2;BL;IMAZAMOX;0,3;;
BL;1;13877;KITT PRONTO;6,5;;;2;BL;IMIDACLOPRID;8,83;;
BL;1;13901;VERDERAME 20 PB;15;;;2;BL;IPROVALICARB;5,69;;
BL;1;13981;CORAGEN;0,6;;;2;BL;ISOXAFLUTOLE;46,86;;
BL;1;13998;PYRUS 400 SC;0,02;;;2;BL;LAMBDA-CYHALOTHRIN;14,63;;
BL;1;14034;CURENOX TOP MICRO;28;;;2;BL;MANDIPROPAMID;0,82;;
BL;1;14056;RODIBAIT;7,2;;;2;BL;MCPA;11,59;;
BL;1;14076;CYPRUS 25 DF;1;;;2;BL;MCPA SODIUM (MCPA SALE SODICO);1,26;;
BL;1;14092;AGRORAT B;25,15;;;2;BL;MECOPROP;2,14;;
BL;1;14154;PIRETRO ACTIGREEN;5,62;;;2;BL;MECOPROP-P;0,11;;
BL;1;14240;PYR PRONTO;33,75;;;2;BL;MESOTRIONE;3,6;;
BL;1;14248;CLOR QUICK;1,1;;;2;BL;METAFLUMIZONE;2,3;;
BL;1;14285;CUPRAVIT BLU FLOW NF;2;;;2;BL;METALAXYL;0,81;;
BL;1;14290;KOHINOR 200 SL;10;;;2;BL;METALAXYL M;2,63;;
