"Prodotti fitosanitari e sostanze attive venduti nell'anno 2015 (fonte dati: Autorità competente per il coordinamento territoriale in materia di prodotti fitosanitari, dichiarazioni di vendita p.f. 2015, art. 16 D.Lgs. 150/2012); le elaborazioni eseguite si riferiscono alle informazioni contenute nella Banca Dati prodotti fitosanitari del Ministero della Salute  al 01/01/2016.";;;;;;;;;
Provincia ULSS;Azienda ULSS;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;Provincia ULSS;Azienda ULSS;Sostanza attiva venduta;Quantità (Kg)
;;;;;;;;;
BL;1;1850;IDRORAME FLOW;29;;BL;1;2,4-D;0,31
BL;1;2259;PASTA LUMACHICIDA IN GRANI;43,5;;BL;1;2,4-D (SALE DIMETILAMMINICO);0,76
BL;1;2272;SILLIM;397;;BL;1;ACETAMIPRID;0
BL;1;2950;ADESIL A;25,9;;BL;1;ACLONIFEN;3,97
BL;1;2995;ESCARTOX;1.173,00;;BL;1;ACRINATHRIN;0,02
BL;1;3065;OLIOCIN;87;;BL;1;AMETOCTRADIN;0,6
BL;1;3219;CARAKOL AGRO;289;;BL;1;AMINOPYRALID;1,08
BL;1;3800;CRITTAM WG;20;;BL;1;AZADIRACHTIN (AZADIRACTINA A);0,04
BL;1;4012;RELDAN 22;15,3;;BL;1;AZOXYSTROBIN;0,93
BL;1;4157;IROL PLUS;10;;BL;1;BENTAZONE;19,4
BL;1;4228;ROGOR 400 ST;0,6;;BL;1;BIFENAZATE;0,03
BL;1;4710;ALIETTE;6,25;;BL;1;BORDEAUX MIXTURE (RAME POLTIGLIA BORDOLESE);20,8
BL;1;5299;MIBIOL;69;;BL;1;BROMADIOLONE;0
BL;1;5414;RADICANTE POLVERE TALEE LEGNOSE;0,6;;BL;1;CARFENTRAZONE-ETHYL;0,13
BL;1;5467;METADENE;100;;BL;1;CHLORANTRANILIPROLE;0,42
BL;1;6401;MONDAK 21 S;3;;BL;1;CHLORPYRIFOS;30,38
BL;1;6632;DIPPER;5;;BL;1;CHLORPYRIFOS-METHYL;3,79
BL;1;6751;RASEN FLORANID;90;;BL;1;CLOMAZONE;1,84
BL;1;6945;TOPAS 10 EC;11;;BL;1;CLOPYRALID;0,08
BL;1;7368;TURFENE L;30;;BL;1;COPPER OXYCHLORIDE (RAME OSSICLORURO);109,44
BL;1;7369;SYLLIT FLO;19,5;;BL;1;COPPER SULFATE (RAME SOLFATO);235,8
BL;1;7401;POLTIGLIA CAFFARO 20 DF NEW;25,5;;BL;1;CYMOXANIL;0,29
BL;1;7916;POLYRAM DF;18;;BL;1;CYPERMETHRIN;0
BL;1;7922;OPALENE;67;;BL;1;CYPRODINIL;0,38
BL;1;8001;AGRO-PYR;0,68;;BL;1;CYPROSULFAMIDE;19,97
BL;1;8184;CHALLENGE;8;;BL;1;DELTAMETHRIN;0,74
BL;1;8189;FORCE;340;;BL;1;DENATHONIUM BENZOATE (DENATONIO BENZOATO);0,09
BL;1;8201;GLISTER;256;;BL;1;DICAMBA;45,51
BL;1;8207;LONTREL 75 G;0,1;;BL;1;DIFENOCONAZOLE;0,7
BL;1;8382;ROUNDUP BIOFLOW;178,8;;BL;1;DIFLUFENICAN;0,38
BL;1;8540;PAMPA;5;;BL;1;DIMETHOATE;0,11
BL;1;8542;FORUM 50 WP;1,4;;BL;1;DIMETHOMORPH;0,88
BL;1;8565;ROUNDUP RTU;14;;BL;1;DITHIANON;2,8
BL;1;8646;ACTIVUS EC;8;;BL;1;DODINE;13,1
BL;1;8726;OVISPRAY;20;;BL;1;EMAMECTIN BENZOATE;0,01
BL;1;8735;TREBON UP;2,75;;BL;1;ETOFENPROX;0,83
BL;1;8743;GREENEX;1,1;;BL;1;FENOXAPROP-P-ETHYL;0,03
BL;1;8801;SCORE 25 EC;3;;BL;1;FERRIC PHOSPHATE (FOSFATO FERRICO);3,7
BL;1;8841;CYREN 7,5 G;70;;BL;1;FLUDIOXONIL;0,25
BL;1;8859;MASTIFF;120;;BL;1;FLUFENACET;5,88
BL;1;8934;SCALA;4;;BL;1;FLUOPICOLIDE;1,2
BL;1;8987;CONFIDOR 200 SL;8,15;;BL;1;FLUROXYPYR;4,02
BL;1;9330;glifo 41;9;;BL;1;FLUVALINATE;0,04
BL;1;9364;RAPIDO;41;;BL;1;FOSETYL-ALUMINIUM;7,1
BL;1;9422;EVADE;2,6;;BL;1;GLYPHOSATE (GLIFOSATE);1.329,20
BL;1;9463;KLARO KIT;280;;BL;1;HEXYTHIAZOX;0
BL;1;9578;SWITCH;1;;BL;1;IMAZAMOX;1,53
BL;1;9668;RUFAST E-FLO;0,26;;BL;1;IMIDACLOPRID;3,29
BL;1;9726;GLIFOSAN;38;;BL;1;IPROVALICARB;0,06
BL;1;9747;FURY;9,24;;BL;1;ISOXAFLUTOLE;30,72
BL;1;9758;COPRANTOL WG;22;;BL;1;LAMBDA-CYHALOTHRIN;18,32
BL;1;9800;MAVRIK 20 EW;0,17;;BL;1;MCPA;0,3
BL;1;9940;ZELIG GR;180;;BL;1;MECOPROP;5,13
BL;1;9954;JOKER;199;;BL;1;MECOPROP-P;0,18
BL;1;9989;SVELLER;12,25;;BL;1;MESOTRIONE;8,58
BL;1;10049;DURSBAN 75 WG;4;;BL;1;METAFLUMIZONE;0,1
BL;1;10127;DECIS JET;10,47;;BL;1;METALAXYL M;1,42
BL;1;10158;PIREFLOR;0,3;;BL;1;METALDEHYDE (METALDEIDE);159,27
BL;1;10161;ORTIVA;4;;BL;1;METHOXYFENOZIDE;0,45
BL;1;10184;TIMBREL EV;0,1;;BL;1;METIRAM;14,8
BL;1;10233;BORDOSEP;41;;BL;1;METRIBUZIN;11,94
BL;1;10296;IPERION;116;;BL;1;MISCELA DI METIL OLEATO E METIL PALMITATO;8,63
BL;1;10305;OIKOS;0,04;;BL;1;NAA;0
BL;1;10372;RASIKAL QUICK;124,5;;BL;1;NICOSULFURON;14,03
BL;1;10396;LIZOCIN;0,1;;BL;1;OXADIAZON;0,08
BL;1;10456;KLARO ULTRA;418;;BL;1;OXYFLUORFEN;1,21
BL;1;10471;OLOVER;2,75;;BL;1;PARAFFIN OIL/(CAS 64742-46-7);19,4
BL;1;10494;PREMIUM TOP;28;;BL;1;PARAFFIN OIL/(CAS 8042-47-5);178,4
BL;1;10581;CITRIN EC;0,08;;BL;1;PARAFFIN OIL/(CAS 97862-82-3);180,18
BL;1;10604;EMERALD 40 EW;1,95;;BL;1;PENCONAZOLE;1,22
BL;1;10734;DUAL GOLD;50;;BL;1;PENDIMETHALIN;17,24
BL;1;10735;PRIMAGRAM GOLD;131;;BL;1;PIPERONYL BUTOXIDE (PIPERONIL BUTOSSIDO);0,02
BL;1;10753;FOLICUR SE;4,4;;BL;1;PROPAMOCARB;11,95
BL;1;10799;OSSIRAM;1,3;;BL;1;PROPAQUIZAFOP;3,78
BL;1;10973;PYRINEX PRONTO;20;;BL;1;PROPICONAZOLE;1,29
BL;1;11011;DASH HC;23;;BL;1;PYRETHRIN I;0,01
BL;1;11045;DODIPREV 35;0,5;;BL;1;PYRETHRINS;0,14
BL;1;11186;CUTIS;1,87;;BL;1;PYRIMETHANIL;1,47
BL;1;11206;CODACIDE;7,5;;BL;1;QUIZALOFOP-P-ETILE;0,04
BL;1;11253;CALLISTO;33;;BL;1;RAPE SEED OIL (OLIO DI COLZA);7,13
BL;1;11403;MELODY COMPACT;1,5;;BL;1;RIMSULFURON;0,13
BL;1;11449;GARDOPRIM GOLD;240;;BL;1;SALE SODICO DI ALCHILETERE SOLFATO;3,83
BL;1;11497;CRITTOVIT WG;46;;BL;1;SHEEP FAT (GRASSO DI PECORA);1,47
BL;1;11523;SEPRADINA SC;1,4;;BL;1;S-METOLACHLOR;194,18
BL;1;11525;FUNGIDINA;13,9;;BL;1;SODIUM DIOCTYL SULFOSUCCINATE (AUTORIZZATO SOLO COME COADIUVANTE);2,78
BL;1;11527;PYRINEX QUICK;0,2;;BL;1;SORBITAN MONOLEATO;1,2
BL;1;11561;NEEMAZAL T/S;3,85;;BL;1;SPINOSAD;0,24
BL;1;11566;ZOLFO 80 WP;25;;BL;1;SPIROTETRAMAT;0,01
BL;1;11586;TOP-AGAN;10;;BL;1;SULPHUR (ZOLFO);113,78
BL;1;11614;ACTARA 25 WG;2,13;;BL;1;TEBUCONAZOLE;0,83
BL;1;11638;FLUORATE;37,4;;BL;1;TEFLUTHRIN;2,13
BL;1;11659;HERBITOTAL S;1;;BL;1;TERBUTHYLAZINE;90,75
BL;1;11690;GOAL 480 SC;0,5;;BL;1;TETRACONAZOLE;0,08
BL;1;11722;GEONEX;40;;BL;1;THIAMETHOXAM;0,73
BL;1;11760;POLITHIOL;40;;BL;1;THIENCARBAZONE-METHYL;12,29
BL;1;11796;GLIFAST;0,2;;BL;1;THIFENSULFURON-METHYL;0,05
BL;1;11979;BORDO 20 MICRO;62,4;;BL;1;TRIBASIC COPPER SULPHATE (RAME SOLFATO TRIBASICO);6,96
BL;1;12010;TUAREG;17;;BL;1;TRICLOPYR;1
