Prodotti fitosanitari venduti nell'anno 2016 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2016, art. 16 D.Lgs. 150/2012).;;;;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;
BL;1850;IDRORAME FLOW;53,00;;
BL;2259;PASTA LUMACHICIDA IN GRANI;575,00;;
BL;2272;SILLIM;463,00;;
BL;2307;VECTOR;60,00;;
BL;2518;ACTELLIC 2P;4,80;;
BL;2634;BUGGY;8,00;;
BL;2923;TIOVIT JET;300,00;;
BL;2934;MICROSOL 90;10,00;;
BL;2983;NIMROD;0,05;;
BL;2995;ESCARTOX;1.625,00;;
BL;3065;OLIOCIN;603,00;;
BL;3102;OLEOTER;56,00;;
BL;3132;SEPR-OIL;45,00;;
BL;3219;CARAKOL AGRO;137,00;;
BL;3343;U46 M CLASS;3,00;;
BL;3658;SIPCAMOL E;40,00;;
BL;3754;BAGNANTE SARIAF;16,00;;
BL;3767;FENOXILENE MAX;2,00;;
BL;4012;RELDAN 22;6,05;;
BL;4228;ROGOR 400 ST;8,00;;
BL;4552;DITHANE DG NEOTEC;10,00;;
BL;4710;ALIETTE;19,00;;
BL;5299;MIBIOL;100,50;;
BL;5414;RADICANTE POLVERE TALEE LEGNOSE;2,40;;
BL;5467;METADENE;40,00;;
BL;5574;LUMAKIDIN 5G;202,00;;
BL;6136;GERMON L;54,00;;
BL;6321;STIMOLANTE 66F;15,00;;
BL;6389;DUECI-FITO RADICANTE;0,80;;
BL;6632;DIPPER;10,00;;
BL;6751;RASEN FLORANID;324,00;;
BL;6764;ZOLFO BAGNABILE 80%;10,00;;
BL;6945;TOPAS 10 EC;5,25;;
BL;7369;SYLLIT FLO;56,27;;
BL;7369;SYLLIT FLOW 200 ML;0,20;;
BL;7401;POLTIGLIA CAFFARO 20 DF NEW;123,50;;
BL;7555;KLARTAN 20 EW;7,21;;
BL;7611;ENOVIT METIL FL;1,00;;
BL;7700;MATACAR FL;0,20;;
BL;7764;TIOLENE;50,50;;
BL;7916;POLYRAM DF;14,00;;
BL;7922;OPALENE;5,00;;
BL;8001;AGRO-PYR;0,20;;
BL;8023;SUMIALFA ECHO;2,00;;
BL;8117;BASTA 200;10,00;;
BL;8146;GALLERY;1,50;;
BL;8184;CHALLENGE;4,00;;
BL;8189;FORCE;2.920,00;;
BL;8201;GLISTER;276,00;;
BL;8229;RAPAX;2,15;;
BL;8382;ROUNDUP BIOFLOW;171,26;;
BL;8429;GLYFOS SL;106,50;;
BL;8499;EFESTO;427,00;;
BL;8542;FORUM 50 WP;2,40;;
BL;8565;ROUNDUP RTU;13,00;;
BL;8743;GREENEX;9,60;;
BL;8801;SCORE 25 EC;1,00;;
BL;8838;GERMON BEWURZELUNGSPUDER PER TALEE ;78,00;;
BL;8841;CYREN 7,5 G;353,00;;
BL;8841;CYREN 7.5 G;48,00;;
BL;8843;NISSHIN;3,00;;
BL;8859;MASTIFF;1.010,00;;
BL;8934;SCALA;3,85;;
BL;8987;CONFIDOR 200 SL;462,70;;
BL;9038;OPINION;0,25;;
BL;9126;CONCORDE COMBI;2,00;;
BL;9131;PYRINEX ME;5,75;;
BL;9330;GLIFO 41;1,00;;
BL;9364;RAPIDO;970,00;;
BL;9411;RADIP ORMON;0,20;;
BL;9422;EVADE;25,75;;
BL;9463;KLARO KIT;413,50;;
BL;9578;SWITCH;4,50;;
BL;9668;RUFAST E-FLO;0,03;;
BL;9705;PREVITER;0,20;;
BL;9726;GLIFOSAN;32,00;;
BL;9747;FURY;13,18;;
BL;9758;COPRANTOL WG;17,00;;
BL;9767;NUFOS 7,5 G;42,00;;
BL;9800;MAVRIK 20 EW;1,61;;
BL;9867;4 STAGIONI;11,25;;
BL;9940;ZELIG GR;10,00;;
BL;9954;JOKER;536,00;;
BL;9989;SVELLER;7,75;;
BL;9995;ARIUS;2,00;;
BL;10029;KING;0,75;;
BL;10048;KUMULUS TECNO;25,00;;
BL;10049;DURSBAN 75 WG;6,00;;
BL;10057;ARPEL WDG;1,00;;
BL;10117;STRATOS ULTRA;5,00;;
BL;10118;AMISTAR;6,00;;
