Prodotti fitosanitari venduti nell'anno 2017 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2017, art. 16 D.Lgs. 150/2012);;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;1156;CHEMOL;22
BL;1850;IDRORAME FLOW;27
BL;2259;PASTA LUMACHICIDA IN GRANI;325
BL;2272;SILLIM;137
BL;2307;VECTOR;83
BL;2923;TIOVIT JET;50
BL;2995;ESCARTOX;950,5
BL;3065;OLIOCIN;504,25
BL;3102;OLEOTER;11
BL;3126;CUPRIZOL;0,5
BL;3132;SEPR-OIL;97
BL;3219;CARAKOL AGRO;103
BL;3658;SIPCAMOL E;46
BL;3754;BAGNANTE SARIAF;7
BL;4012;RELDAN 22;8,5
BL;4710;ALIETTE;14,65
BL;5299;MIBIOL;8
BL;5414;RADICANTE POLVERE TALEE LEGNOSE;2,3
BL;5574;LUMAKIDIN 5G;30
BL;6389;DUECI-FITO RADICANTE;1,75
BL;6751;RASEN FLORANID;175,5
BL;6945;TOPAS 10 EC;3
BL;7020;BAGNANTE CIFO;14
BL;7369;SYLLIT FLO;26,45
BL;7555;KLARTAN 20 EW;0,02
BL;7764;TIOLENE;60
BL;7916;POLYRAM DF;10
BL;7922;OPALENE;96
BL;8189;FORCE;90
BL;8201;GLISTER;6
BL;8207;LONTREL 75 G;0,3
BL;8229;RAPAX;5,05
BL;8382;ROUNDUP BIOFLOW;199,56
BL;8429;GLYFOS SL;20
BL;8565;ROUNDUP RTU;2
BL;8743;GREENEX;1,7
BL;8801;SCORE 25 EC;0,5
BL;8841;CYREN 5 G;129
BL;8841;CYREN 7,5 G;19
BL;8859;MASTIFF;20
BL;8934;SCALA;3
BL;8987;CONFIDOR 200 SL;239,36
BL;9005;AGIL;8
BL;9038;OPINION;0,1
BL;9131;PYRINEX ME;1,55
BL;9422;EVADE;51,25
BL;9463;KLARO KIT;269,5
BL;9578;SWITCH;4
BL;9668;RUFAST E-FLO;1,12
BL;9679;KRISTAL 32 WG;20
BL;9730;CUPROSSIL IDRO 25 WP BLU;3
BL;9747;FURY;5,78
BL;9758;COPRANTOL WG;24
BL;9767;NUFOS 5 G;4
BL;9800;MAVRIK 20 EW;0,32
BL;9867;4 STAGIONI;2,5
BL;9940;ZELIG GR ADAMA;9
BL;9954;JOKER;614
BL;10029;KING;0,12
BL;10117;STRATOS ULTRA;20
BL;10127;DECIS JET;49,52
BL;10158;PIREFLOR;0,1
BL;10209;GLYFOS ULTRA;48
BL;10230;LUMAPLUS;91
BL;10305;OIKOS;0,78
BL;10357;RIGRON SG;12
BL;10396;LIZOCIN;0,4
BL;10423;LUMACHICIDA VEBI;5
BL;10456;KLARO ULTRA;166,5
BL;10461;DICOTURF;0,01
BL;10492;SONAR COMBI FLOW;1
BL;10494;PREMIUM TOP;166
BL;10509;MASTIFF ULTRA;451
BL;10568;ZOOMER;1,5
BL;10588;BIOPIREN PLUS;1
BL;10604;EMERALD 40 EW;5,55
BL;10632;COBRE NORDOX SUPER 75 WG;6,5
BL;10734;DUAL GOLD;38
BL;10735;PRIMAGRAM GOLD;226
BL;10741;METACINQUE;6
BL;10771;MOST MICRO;19,2
BL;10890;FLIPPER;0,15
BL;10929;CHIKARA 25 WG;0,05
BL;11045;DODIPREV 35;2
BL;11102;HELIOSOUFRE S;0,2
BL;11133;SHELTER;5,5
BL;11190;PENCOR 10 EC;0,4
BL;11206;CODACIDE;12,5
BL;11253;CALLISTO;14
BL;11257;COSTAR WG;1,5
BL;11341;STARANE GOLD;1
BL;11403;MELODY COMPACT;0,5
BL;11418;ROUNDUP 450 PLUS;1
BL;11449;GARDOPRIM GOLD;930
BL;11497;CRITTOVIT WG;90
BL;11523;SEPRADINA SC;23,5
BL;11525;FUNGIDINA;14,1
BL;11527;PIRINEX QUIK;2
BL;11527;PYRINEX;9,6
BL;11527;PYRINEX QUICK;3,69
BL;11561;NEEMAZAL T/S;4,82
BL;11566;ZOLFO 80 WP;11
BL;11587;CAMBEL S;17
BL;11614;ACTARA 25 WG;21,77
BL;11619;TIOFLOR WDG;132
BL;11638;FLUORATE;6
BL;11649;COMMAND 36 CS;2
BL;11659;HERBITOTAL S;50,25
BL;11693;LASER;0,25
BL;11694;CONSERVE SC;0,16
BL;11704;OLIO OGNISTAGIONE;0,5
BL;11779;KOP-TWIN;10
BL;11796;GLIFAST;62
BL;11814;SPADA 200 EC;10
BL;11908;VENTUREX 35 L;4,8
BL;11979;BORDO 20 MICRO;5
BL;12010;TUAREG;1
BL;12020;SUCCESS;26,26
BL;12043;PREVICUR ENERGY;2,65
BL;12068;TEFLUSTAR;558,8
BL;12069;EPIK;0,05
BL;12078;METALIM;80
BL;12084;GALEO;2
BL;12096;POLTIGLIA DISPERSS;392
BL;12133;JUVINAL GOLD;0,25
BL;12138;R6 ERRESEI TREVI;3
BL;12172;FERRAMOL;28,5
BL;12212;PENTHIUM EC;2,5
BL;12215;VEBIPHOS 7,5;21
BL;12315;ORTIVA HOBBY;0,22
BL;12323;VEBIZOLFO WG;3,5
