Prodotti fitosanitari venduti nell'anno 2018 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2017, art. 16 D.Lgs. 150/2012);;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;13;THIOPRON;30
BL;1156;CHEMOL;17
BL;1583;MICROTHIOL DISPERSS;51
BL;1850;IDRORAME FLOW;43
BL;2259;PASTA LUMACHICIDA IN GRANI;695,5
BL;2272;SILLIM;407,5
BL;2272;SILLIM PFNPE;28
BL;2307;VECTOR;95
BL;2518;Actellic 2p;5
BL;2923;TIOVIT JET;25
BL;2995;ESCARTOX;1.097,00
BL;3065;OLIOCIN;273,5
BL;3065;OLIOCIN PFNPE;220,5
BL;3102;OLEOTER;5,5
BL;3132;SEPR-OIL;108
BL;3219;CARAKOL AGRO;308
BL;3754;BAGNANTE SARIAF;20
BL;3800;CRITTAM WG;4
BL;4012;RELDAN 22;1
BL;4710;ALIETTE;3,4
BL;4710;ALIETTE PFNPE;9,9
BL;4896;RIGENAL P;0,7
BL;5299;MIBIOL;35,75
BL;5299;MIBIOL PFNPE;1
BL;5414;RADICANTE POLVERE TALEE LEGNOSE;2,7
BL;5574;LUMAKIDIN 5G PFNPE;23
BL;6389;DUECI-FITO RADICANTE;0,6
BL;6751;RASEN FLORANID;150
BL;6873;IDRORAME 193;2
BL;6945;TOPAS 10 EC;4
BL;7369;SYLLIT FLO;20,47
BL;7379;VENZAR;1
BL;7401;POLTIGLIA CAFFARO 20 DF NEW;161
BL;7530;BIOLID E;2,5
BL;7555;KLARTAN 20 EW;0,14
BL;7764;TIOLENE;16
BL;7864;TAU AL 240 EW;1,15
BL;7864;TAVAL;3,6
BL;7916;POLYRAM DF;14
BL;7922;OPALENE;93
BL;8229;RAPAX;5,95
BL;8382;ROUNDUP BIOFLOW;232,68
BL;8801;SCORE 25 EC;1,5
BL;8841;CYREN 5 G;183,5
BL;8934;SCALA;4
BL;8987;CONFIDOR 200 SL;47,65
BL;9005;AGIL;2
BL;9038;OPINION;0,05
BL;9131;PYRINEX ME;4
BL;9342;DELTRIN;5
BL;9411;RADIP ORMON;0,1
BL;9422;EVADE;50,5
BL;9463;KLARKO;12
BL;9463;KLARO KIT;141,25
BL;9578;SWITCH;2
BL;9668;RUFAST E-FLO;1,19
BL;9679;KRISTAL 32 WG;4
BL;9705;PREVITER;0,25
BL;9747;FURY;3
BL;9758;COPRANTOL WG;17
BL;9767;NUFOS 5 G;59
BL;9800;MAVRIK 20 EW;2,2
BL;9954;JOKER;431
BL;10029;KING;0,12
BL;10117;STRATOS ULTRA;2
BL;10127;DECIS JET;26,52
BL;10127;DECIS JET PFNPE;30,97
BL;10161;ORTIVA;2
BL;10183;GARLON EV;0,1
BL;10209;GLYFOS ULTRA;90
BL;10230;LUMAPLUS;281
BL;10233;BORDOSEP;19
BL;10263;DRIVER;6
BL;10396;LIZOCIN;0,15
BL;10456;KLARO ULTRA;76,5
BL;10479;NATURALIS;1
BL;10494;PREMIUM TOP;30
BL;10509;MASTIFF ULTRA;561,5
BL;10573;KOCIDE 2000;10
BL;10588;BIOPIREN PLUS;1
BL;10589;FLORA VERDE;1,12
BL;10595;CUPRO ISAGRO BLU;118
BL;10604;EMERALD 40 EW;5,48
BL;10604;EMERALD 40 EW PFNPE;8,29
BL;10632;COBRE NORDOX SUPER 75 WG;8
BL;10701;CUMETA FLOW;20
BL;10734;DUAL GOLD;17
BL;10735;PRIMAGRAM GOLD;220
BL;10771;MOST MICRO;17,2
BL;10926;ALTOREX;5
BL;11011;DASH HC;8
BL;11070;TIOGOLD DISPERSS;25
BL;11133;SHELTER;0,5
BL;11190;PENCOR 10 EC;0,4
BL;11206;CODACIDE;2,5
BL;11253;CALLISTO;41
BL;11257;COSTAR WG;0,75
BL;11449;GARDOPRIM GOLD;500
BL;11497;CRITTOVIT WG;111
BL;11523;SEPRADINA 400 SC;31,5
BL;11525;FUNGIDINA 400 SC;25,5
BL;11561;NEEMAZAL T/S;15,6
BL;11566;ZOLFO 80 WP;3
BL;11614;ACTARA 25 WG;3,62
BL;11619;TIOFLOR WDG;188
BL;11659;HERBITOTAL;7,25
BL;11694;CONSERVE SC;0,46
BL;11700;BOTANIGARD 22 WP;0,1
BL;11702;REMUS  L;12
BL;11760;POLITHIOL;20
BL;11779;KOP-TWIN;5
BL;11796;GLIFAST;2,2
BL;11796;GLINFAST;14
BL;11814;SPADA 200 EC;11
BL;11870;CUPRITAL S.D.I.;1
BL;11908;VENTUREX 400 SC;1,4
BL;12010;TUAREG;15
BL;12020;SUCCESS;27,29
BL;12043;PREVICUR ENERGY;0,05
BL;12043;PREVICUR ENERGY PFNPE;0,35
BL;12048;TIOSOL 80 WG;4,5
BL;12068;TEFLUSTAR;562,55
BL;12078;METALIM;153
BL;12096;POLTIGLIA DISPERSS;416
BL;12114;AUXIGER LG;6
BL;12138;R6 ERRESEI TREVI;22
BL;12172;FERRAMOL;13
BL;12202;ZEMIX R WG;1
BL;12315;ORTIVA HOBBY;0,11
BL;12323;VEBIZOLFO WG PFNPE;2
BL;12325;MESUROL M PLUS;881
BL;12325;MESUROL M PLUS PFNPE;187
BL;12330;DEDALUS;0,3
BL;12344;VEBITHRIN 5 EC;1,35
BL;12395;CUTRIL TOP;9
BL;12437;DELAN 70 WG;11
BL;12453;MILDICUT;2
BL;12461;FINALSAN ERBICIDA PROFESSIONAL;12
BL;12482;LUMAX;2.690,00
BL;12526;ALIETTE ORTO E GIARDINO;0,25
BL;12534;FOXTAIL;9,84
BL;12566;PYGANIC 1.4;3,68
BL;12590;DIASTAR MAXI;100
BL;12629;BUGGY 360 SG N.E.T;0,6
BL;12636;QUASAR 6-24 R;1
BL;12671;HARMONY 50 SX;0,38
BL;12692;SPRUZIT INSETTICIDA;2
