Prodotti fitosanitari venduti nell'anno 2019 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2017, art. 16 D.Lgs. 150/2012);;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;13;THIOPRON;20,00
BL;1583;MICROTHIOL DISPERSS;63,00
BL;1850;IDRORAME FLOW;19,00
BL;2259;PASTA LUMACHICIDA IN GRANI;516,50
BL;2272;SILLIM;182,00
BL;2272;SILLIM PFnPE;120,00
BL;2307;VECTOR;80,00
BL;2923;TIOVIT JET;25,00
BL;2995;ESCARTOX;420,00
BL;2995;ESCARTOX 1 kg;224,00
BL;2995;ESCARTOX PFNPE;240,00
BL;3065;OLIOCIN PFnPE;44,50
BL;3102;OLEOTER;6,00
BL;3132;SEPR-OIL PFnPE;24,50
BL;3219;CARAKOL AGRO PFnPE;118,00
BL;4710;ALIETTE;2,40
BL;4710;ALIETTE PFnPE;5,30
BL;4896;RIGENAL P;1,30
BL;5228;CARAKOL;66,00
BL;5299;MIBIOL;4,00
BL;5299;MIBIOL PFnPE 0.5 Lt;26,00
BL;5414;RADICANTE POLVERE TALEE LEGNOSE PFn;0,30
BL;5574;LUMAKIDIN 5G PFnPE;25,00
BL;6321;STIMOLANTE 66F;9,00
BL;6389;DUECI-FITO RADICANTE;0,30
BL;6751;RASEN FLORANID PFnPE;4,50
BL;6873;IDRORAME 193;3,00
BL;6945;TOPAS 10 EC;3,00
BL;7369;SYLLIT FLO;2,50
BL;7401;POLTIGLIA CAFFARO 20 DF NEW;8,00
BL;7541;APOLLO SC PFnPE;0,05
BL;7555;KLARTAN 20 EW;0,02
BL;7611;ENOVIT METIL FL;2,00
BL;7764;TIOLENE;3,00
BL;7916;POLYRAM DF;36,00
BL;7922;OPALENE;49,00
BL;8146;GALLERY;1,50
BL;8229;RAPAX;0,35
BL;8382;ROUNDUP BIOFLOW;25,60
BL;8382;ROUNDUP BIOFLOW PFnPE;141,30
BL;8795;VERTIMEC EC;5,00
BL;8801;SCORE 25 EC;3,00
BL;8837;GERMON BEWURZELUNGSPUDER PER TALEE ;4,00
BL;8838;GERMON BEWURZELUNGSPUDER PER TALEE ;87,00
BL;8841;CYREN 5 G;159,50
BL;8841;CYREN 5 G PFNPE;24,00
BL;8934;SCALA;5,00
BL;9210;QUADRIS;4,00
BL;9244;ZIRAMIT 76 WG;1,00
BL;9342;DELTRIN;5,50
BL;9411;RADIP ORMON PFnPE;1,60
BL;9422;EVADE;6,85
BL;9668;RUFAST E-FLO;0,01
BL;9679;KRISTAL 32 WG;4,00
BL;9767;NUFOS 5 G;29,00
BL;9954;JOKER;646,00
BL;10117;STRATOS ULTRA;30,00
BL;10127;DECIS JET;0,29
BL;10127;DECIS JET PFnPE;4,47
BL;10230;LUMAPLUS;155,00
BL;10233;BORDOSEP PFnPE;62,00
BL;10263;DRIVER;2,00
BL;10456;KLARO ULTRA;8,50
BL;10479;NATURALIS;5,00
BL;10509;MASTIFF ULTRA;48,50
BL;10604;EMERALD 40 EW PFnPE;4,69
BL;10632;COBRE NORDOX SUPER 75 WG;20,50
BL;10701;CUMETA FLOW;51,50
BL;10734;DUAL GOLD;19,00
BL;10735;PRIMAGRAM GOLD;132,00
BL;10771;MOST MICRO;12,00
BL;10890;FLiPPER;0,15
BL;10926;ALTOREX;5,00
BL;10970;NECOLIM;36,00
BL;10976;METEOR;2,41
BL;10976;METEOR PFNPE;0,10
BL;11011;DASH HC;13,00
BL;11133;SHELTER;1,00
BL;11190;PENCOR 10 EC;0,10
BL;11206;CODACIDE;5,00
BL;11253;CALLISTO;24,00
BL;11449;GARDOPRIM GOLD;280,00
BL;11497;CRITTOVIT WG;35,00
BL;11505;READY GERMIPLUS;14,00
BL;11525;FUNGIDINA 400 SC;5,00
BL;11561;NEEMAZAL T/S;15,17
BL;11649;COMMAND 36 CS;1,00
BL;11694;CONSERVE SC;1,68
BL;11702;REMUS  L PFnPE;12,00
BL;11722;GEONEX;18,00
BL;11779;KOP-TWIN;10,00
BL;11870;CUPRITAL S.D.I.;1,50
BL;12010;TUAREG;9,00
BL;12020;SUCCESS;16,99
BL;12043;PREVICUR ENERGY;2,20
BL;12043;PREVICUR ENERGY PFnPE;0,15
BL;12048;TIOSOL 80 WG;5,00
BL;12068;TEFLUSTAR;362,00
BL;12078;METALIM;10,00
BL;12096;POLTIGLIA DISPERSS;4,00
BL;12114;AUXIGER LG;21,00
BL;12172;FERRAMOL PFnPE;10,00
BL;12225;TEPPEKI PFnPE;0,15
BL;12315;ORTIVA HOBBY PFnPE;0,22
BL;12323;VEBIZOLFO WG PFnPE;5,00
BL;12325;MESUROL M PLUS PFnPE;816,00
BL;12344;VEBITHRIN 5 EC;2,55
BL;12437;DELAN 70 WG;7,00
BL;12482;LUMAX;3.970,00
BL;12526;ALIETTE ORTO E GIARDINO PFnPE;8,50
BL;12534;FOXTAIL;3,70
BL;12566;PYGANIC 1.4;2,16
BL;12566;PYGANIC 1.4 PFNPE;0,60
BL;12590;DIASTAR MAXI;140,00
BL;12671;HARMONY 50 SX;0,48
BL;12722;OSSICLOR 20 FLOW;2,50
BL;12738;KING 360 HP;10,00
BL;12756;DICOTEX;10,90
BL;12759;OSSICLOR 35 WG;62,70
BL;12779;RAMEDIT COMBI WG;1,00
BL;12847;EAGLE;2,00
BL;12859;BORNEO;0,18
BL;12862;CANTUS;1,00
BL;12878;FOLPAN GOLD;1,00
BL;12940;KARATE ZEON 1.5;4,50
BL;13020;MICRORAM 35 WG;5,00
BL;13062;DIPEL DF;0,21
BL;13065;DOMARK 125 PFnPE;11,35
BL;13084;TELDOR PLUS PFnPE;1,10
BL;13093;STOMP AQUA;1,00
BL;13138;SYSTHANE 2,5 EC PLUS;2,00
BL;13149;POLTIGLIA MANICA 20 WG;207,00
BL;13149;POLTIGLIA MANICA 20 WG PFNPE;45,00
BL;13156;CAMBEL 480 S;3,00
BL;13186;TITUS MAIS EXTRA;0,16
BL;13213;R6 ERRESEI ALBIS;12,00
BL;13263;BORDORAM 20 WG;8,60
BL;13290;ZOLFO MANICA DOPPIO RAFFINATO VENTI;15,00
BL;13299;MAGIO';2,00
BL;13313;CASPER;1,00
BL;13323;SULFY 80 WDG;1,00
BL;13323;SULFY 80 WDG PFnPE;14,00
BL;13323;SULFY 80 WDG PFnPE 200 gr;9,60
BL;13324;CUPRIZOL S;2,50
BL;13389;AFFIRM;3,00
BL;13440;SATEL;0,40
BL;13466;SPOTLIGHT PLUS;3,00
BL;13468;CLINER;1,80
BL;13521;HELIOCUIVRE S;3,00
BL;13540;QUASAR R FLOW;14,75
BL;13552;ZOLVIS 80 SECTOR PFnPE;10,00
BL;13586;VERDERAME 20 WG;53,00
