"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;13;THIOPRON;30,00
BL;1583;MICROTHIOL DISPERSS;1,00
BL;1850;IDRORAME FLOW;19,00
BL;2259;PASTA LUMACHICIDA IN GRANI PFnPE;937,00
BL;2272;SILLIM;2,50
BL;2272;SILLIM PFnPE;64,50
BL;2307;VECTOR;30,00
BL;2923;TIOVIT JET;33,00
BL;2934;MICROSOL 90 PFnPE;7,00
BL;2940;LIMACIDE PELLETS;18,00
BL;2940;LIMACIDE PELLETS PFnPE;216,00
BL;2995;ESCARTOX;120,00
BL;2995;ESCARTOX PFnPE;644,00
BL;3065;OLIOCIN PFnPE;54,50
BL;3102;OLEOTER;7,00
BL;3132;SEPR-OIL;23,00
BL;3132;SEPR-OIL PFnPE;63,50
BL;4710;ALIETTE;1,45
BL;4710;ALIETTE PFnPE;7,25
BL;5414;RADICANTE POLVERE TALEE LEGNOSE;1,10
BL;5414;RADICANTE POLVERE TALEE LEGNOSE PFn;3,60
BL;6136;GERMON L PFnPE;0,10
BL;6321;STIMOLANTE 66F PFnPE;0,24
BL;6389;DUECI-FITO RADICANTE PFnPE;0,80
BL;6751;RASEN FLORANID PFnPE;6,00
BL;7530;BIOLID E;0,80
BL;7541;APOLLO SC;0,05
BL;7764;TIOLENE;31,00
BL;7916;POLYRAM DF;26,00
BL;7922;OPALENE;42,00
BL;7922;OPALENE PFnPE;30,00
BL;8184;CHALLENGE;2,00
BL;8382;ROUNDUP BIOFLOW PFnPE;7,50
BL;8558;PIRETRO VERDE PFnPE;0,75
BL;8742;INDAR 5 EW;2,00
BL;8801;SCORE 25 EC;0,50
BL;8837;GERMON BEWURZELUNGSPUDER PER TALEE ;1,50
BL;8838;GERMON BEWURZELUNGSPUDER PER TALEE ;4,10
BL;8934;SCALA;1,00
BL;9005;AGIL;1,00
BL;9210;QUADRIS;1,00
BL;9411;RADIP ORMON;0,40
BL;9411;RADIP ORMON PFnPE;2,00
BL;9422;EVADE;6,00
BL;9448;RIFLE 3-18 R BLU;10,00
BL;9449;EMERALD COMBI;5,00
BL;9578;SWITCH;3,00
BL;9668;RUFAST E-FLO;0,03
BL;9954;JOKER;325,00
BL;10005;SCOTTS WEEDCONTROL PFnPE;3,00
BL;10029;KING;0,63
BL;10230;LUMAPLUS;21,00
BL;10230;LUMAPLUS PFnPE;320,00
BL;10305;OIKOS;0,25
BL;10381;CONCORDE 40 EW;5,00
BL;10423;LUMACHICIDA VEBI PFnPE;25,00
BL;10461;DICOTURF PFnPE;2,50
BL;10588;BIOPIREN PLUS;1,00
BL;10604;EMERALD 40 EW;2,76
BL;10604;EMERALD 40 EW PFnPE;4,42
BL;10632;COBRE NORDOX SUPER 75 WG PFnPE;3,50
BL;10701;CUMETA FLOW;7,00
BL;10734;DUAL GOLD;14,00
BL;10735;PRIMAGRAM GOLD;53,00
BL;10741;METACINQUE;274,00
BL;10741;METACINQUE PFnPE;540,00
BL;10771;MOST MICRO;11,00
BL;10976;METEOR PFnPE;8,66
BL;11070;TIOGOLD DISPERSS;105,00
BL;11119;FLINT;0,50
BL;11253;CALLISTO;6,00
BL;11257;COSTAR WG;1,50
BL;11449;GARDOPRIM GOLD;70,00
BL;11497;CRITTOVIT WG;1,00
BL;11525;FUNGIDINA 400 SC;1,50
