"Prodotti fitosanitari venduti nell'anno 2022
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2022, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;13;THIOPRON;30
BL;1583;MICROTHIOL DISPERSS;1
BL;1850;IDRORAME FLOW;4
BL;2291;ESCA REGINA N;108
BL;2291;ESCA REGINA N PFnPE;332,5
BL;2307;VECTOR;29
BL;2923;TIOVIT JET;45
BL;2934;MICROSOL 90 PFnPE;2,5
BL;3065;OLIOCIN PFnPE;13,5
BL;3102;OLEOTER;9
BL;3102;OLEOTER PFnPE;13
BL;3132;SEPR-OIL PFnPE;76
BL;3486;TRISCABOL DG;2
BL;3503;AGRUMIN;12
BL;4710;ALIETTE;2,15
BL;4710;ALIETTE PFnPE;2
BL;5414;RADICANTE POLVERE TALEE LEGNOSE;1,2
BL;5414;RADICANTE POLVERE TALEE LEGNOSE PFnPE;1,9
BL;6136;GERMON L PFnPE;0,7
BL;6321;STIMOLANTE 66F PFnPE;0,02
BL;6389;DUECI-FITO RADICANTE PFnPE;1,8
BL;6945;TOPAS 10 EC;1
BL;7541;APOLLO SC;0,05
BL;7541;APOLLO SC PFnPE;1,3
BL;7764;TIOLENE;63
BL;7916;POLYRAM DF;30
BL;7922;OPALENE FLUID;29
BL;8382;ROUNDUP BIOFLOW PFnPE;2,9
BL;8558;PIRETRO VERDE;1
BL;8801;SCORE 25 EC;0,25
BL;8837;GERMON BEWURZELUNGSPUDER PER TALEE ;0,1
BL;8838;GERMON BEWURZELUNGSPUDER PER TALEE ;2,9
BL;8934;SCALA;3
BL;9342;DELTRIN;0
BL;9411;RADIP ORMON PFnPE;0,5
BL;9422;EVADE;3,1
BL;9578;SWITCH;1,25
BL;9954;JOKER;441
BL;10461;DICOTURF PFnPE;1
BL;10588;BIOPIREN PLUS;2
BL;10589;FLORA VERDE PFnPE;0,27
BL;10604;EMERALD 40 EW;5,17
BL;10604;EMERALD 40 EW PFnPE;18,85
BL;10701;CUMETA FLOW;25,5
BL;10734;DUAL GOLD;43
BL;10735;PRIMAGRAM GOLD;36
BL;10741;METACINQUE PFnPE;49
