Provincia,"N. Reg.","Prodotto fitosanitario venduto*","Quantità(Kg o litri)"
BL,1850,IDRORAME FLOW,4.00
BL,2291,ESCA REGINA N,67.00
BL,2307,VECTOR,42.00
BL,2923,TIOVIT JET,93.00
BL,3102,OLEOTER,2.00
BL,3343,U46 M CLASS,5.00
BL,3486,TRISCABOL DG,1.00
BL,3503,AGRUMIN,6.00
BL,4710,ALIETTE,2.00
BL,6136,GERMON L,0.30
BL,7541,APOLLO SC,1.15
BL,7764,TIOLENE,30.00
BL,7916,POLYRAM DF,26.00
BL,8382,ROUNDUP BIOFLOW,1.00
BL,8801,SCORE 25 EC,0.50
BL,8838,GERMON BEWURZELUNGSPUDER PER TALEE ,0.20
BL,8934,SCALA,2.00
BL,9126,CONCORDE COMBI,3.00
BL,9210,QUADRIS,2.00
BL,9244,ZIRAMIT 76 WG,10.00
BL,9422,EVADE,2.25
BL,9449,EMERALD COMBI,7.00
BL,9578,SWITCH,0.25
BL,9668,RUFAST E-FLO,0.40
BL,9954,JOKER,626.00
BL,10117,STRATOS ULTRA,1.00
BL,10161,ORTIVA,3.00
BL,10305,OIKOS,0.60
BL,10585,SULCOTREK,225.00
BL,10604,EMERALD 40 EW,1.51
BL,10701,CUMETA FLOW,3.00
BL,10734,DUAL GOLD,30.00
BL,10735,PRIMAGRAM GOLD,40.00
BL,10771,MOST MICRO,843.00
BL,10890,FLiPPER,10.35
BL,10944,KARATE ZEON,3.00
BL,10976,METEOR,4.00
BL,11011,DASH HC,2.00
BL,11070,TIOGOLD DISPERSS,15.00
BL,11119,FLINT,1.00
BL,11133,SHELTER,0.50
BL,11206,CODACIDE,5.00
BL,11449,GARDOPRIM GOLD,3155.00
BL,11779,KOP-TWIN,15.00
BL,12020,SUCCESS,0.71
BL,12078,METALIM,3.00
BL,12114,AUXIGER LG,0.10
BL,12344,VEBITHRIN 5 EC,3.20
BL,12482,LUMAX,370.00
BL,12526,ALIETTE ORTO E GIARDINO,1.75
BL,12534,FOXTAIL,0.10
BL,12590,DIASTAR MAXI,180.00
BL,12671,HARMONY 50 SX,0.32
BL,12722,OSSICLOR 20 FLOW,1.00
BL,12738,KING 360 HP,9.00
BL,12759,OSSICLOR 35 WG,74.00
BL,12878,FOLPAN GOLD,7.00
BL,12886,KARATHANE STAR,2.00
BL,12916,SACRON 45 W,4.00
BL,12940,KARATE ZEON 15,4.50
BL,13012,FOLVIT 80 WDG,2.00
BL,13149,POLTIGLIA MANICA 20 WG,79.00
BL,13160,FORUM TOP,5.00
BL,13213,R6 ERRESEI ALBIS,6.00
BL,13218,FINALSAN PLUS,10.00
BL,13242,NICOGAN VO,36.00
BL,13244,ZOLFO VENTILATO STELLA,5.00
BL,13263,BORDORAM 20 WG,53.30
BL,13323,SULFY 80 WDG,0.60
BL,13382,PERGADO SC,1.00
BL,13389,AFFIRM,1.00
BL,13468,CLINER PFnPE,0.20
BL,13552,ZOLVIS 80 SECTOR,10.00
BL,13600,ZOLFO SAIM DOPPIO VENTILATO SCO,20.00
BL,13809,FORCE ULTRA,5200.00
