Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
BL,13,THIOPRON,30
BL,1850,IDRORAME FLOW,20
BL,2259,PASTA LUMACHICIDA IN GRANI,75
BL,2260,GASTROTOX E,120
BL,2291,ESCA REGINA N,40
BL,2307,VECTOR,88
BL,2923,TIOVIT JET,23
BL,3102,OLEOTER,7
BL,3486,TRISCABOL DG,5
BL,3503,AGRUMIN,10
BL,4701,PIRIMOR 50,10
BL,4710,ALIETTE,2
BL,6136,GERMON L,0.2
BL,6322,OBSTHORMON 24A,5
BL,6437,ETHREL,5
BL,7368,TURFENE L,1
BL,7736,ZOLFO SCORREVOLE TRIVENTILATO 95% S,25
BL,7764,TIOLENE,298
BL,7916,POLYRAM DF,2
BL,7930,KERB FLO,1
BL,8601,FOLPAN 80 WDG,20
BL,8735,TREBON UP,2
BL,8801,SCORE 25 EC,14.25
BL,8934,SCALA,1
BL,9005,AGIL,40
BL,9126,CONCORDE COMBI,1
BL,9210,QUADRIS,8
BL,9422,EVADE,6.75
BL,9448,RIFLE 3-18 R BLU,15
BL,9449,EMERALD COMBI,6
BL,9578,SWITCH,4
BL,9954,JOKER,436
BL,10029,KING,10
BL,10117,STRATOS ULTRA,1
BL,10161,ORTIVA,7
BL,10305,OIKOS,0.5
BL,10306,MISTRAL,20
BL,10585,SULCOTREK,30
BL,10701,CUMETA FLOW,31
BL,10734,DUAL GOLD,89
BL,10735,PRIMAGRAM GOLD,6
BL,10771,MOST MICRO,37
BL,10890,FLiPPER,0.4
BL,10976,METEOR,18
BL,11070,TIOGOLD DISPERSS,330
BL,11102,HELIOSOUFRE S,10
BL,11119,FLINT,0.5
BL,11133,SHELTER,10.5
BL,11206,CODACIDE,25
BL,11243,LEOPARD 5 EC,8
BL,11341,STARANE GOLD,17
BL,11449,GARDOPRIM GOLD,70
BL,11693,LASER,0.5
BL,11760,POLITHIOL,20
BL,11779,KOP-TWIN,30
BL,11999,BUSSOLA WG NC,80
BL,12020,SUCCESS,0.1
