Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
BL,1850,IDRORAME FLOW,8
BL,2259,PASTA LUMACHICIDA IN GRANI,34
BL,2260,GASTROTOX E,170
BL,2307,VECTOR,76
BL,2923,TIOVIT JET,12
BL,3412,SYLLIT 65,30
BL,3486,TRISCABOL DG,6
BL,3503,AGRUMIN,14
BL,4701,PIRIMOR 50,20
BL,6136,GERMON L,0.7
BL,6834,TEPETA COMBI FLOW,40
BL,7736,ZOLFO SCORREVOLE TRIVENTILATO 95% S,25
BL,7764,TIOLENE,354
BL,7922,OPALENE FLUID,20
BL,8102,MERPAN 80 WDG,70
BL,8146,GALLERY,1.5
BL,8184,CHALLENGE,5
BL,8581,FOLIANE SC,30
BL,8601,FOLPAN 80 WDG,20
BL,8735,TREBON UP,16
BL,8801,SCORE 25 EC,13.5
BL,8838,GERMON BEWURZELUNGSPUDER PER TALEE ,0.1
BL,9210,QUADRIS,14
BL,9244,ZIRAMIT 76 WG,100
BL,9373,CHORUS,20
BL,9422,EVADE,24.75
BL,9448,RIFLE 3-18 R BLU,15
BL,9578,SWITCH,1
BL,9800,MAVRIK SMART,15
BL,9954,JOKER,308
BL,10029,KING,20
BL,10117,STRATOS ULTRA,3
BL,10142,VERNOIL,600
BL,10161,ORTIVA,5
BL,10306,MISTRAL,20
BL,10381,CONCORDE 40 EW,1
BL,10423,LUMACHICIDA VEBI,25
BL,10577,METRIPHAR 70 WG,20.5
BL,10585,SULCOTREK,150
BL,10588,BIOPIREN PLUS,5
BL,10701,CUMETA FLOW,35
BL,10741,METACINQUE,2
BL,10771,MOST MICRO,20
BL,10890,FLiPPER,0.6
BL,10926,ALTOREX,2
BL,10976,METEOR,54
BL,11070,TIOGOLD DISPERSS,390
BL,11119,FLINT,3
BL,11133,SHELTER,18
BL,11206,CODACIDE,55
BL,11243,LEOPARD 5 EC,19
BL,11341,STARANE GOLD,32
BL,11561,NEEMAZAL T/S,8
BL,11779,KOP-TWIN,10
BL,12043,PREVICUR ENERGY,1
BL,12078,METALIM,31
BL,12225,TEPPEKI,5
BL,12344,VEBITHRIN 5 EC,1
BL,12437,DELAN 70 WG,50
BL,12566,PYGANIC 1.4,0.1
BL,12590,DIASTAR MAXI,160
BL,12671,HARMONY 50 SX,0.49
BL,12738,KING 360 HP,3
BL,12748,GRIFON PIU',20
BL,12756,DICOTEX,2
BL,12759,OSSICLOR 35 WG,13
BL,12866,COLLIS,1
BL,12868,BELLIS,2
BL,12886,KARATHANE STAR,21
BL,12916,SACRON 45 WG,1
