DATAFLOW,FREQ: Frequency,REF_AREA: Territory,DATA_TYPE: Indicator,TYPE_OF_CROP: Type of crop,PLANT_PROTECTION_PROD: Plant protection products and active ingredients,NUMBER_PHYTOS_TREAT: Number of phytosanitary treatments,LEVEL_OF_TOXICITY: Level of toxicity,TIME_PERIOD: Time,OBS_VALUE,OBS_STATUS: Observation status,NOTE_DS: Dataset note,NOTE_REF_AREA: Territory,NOTE_DATA_TYPE: Indicator,NOTE_TYPE_OF_CROP: Type of crop,NOTE_PLANT_PROTECTION_PROD: Plant protection products and active ingredients,NOTE_NUMBER_PHYTOS_TREAT: Number of phytosanitary treatments,NOTE_LEVEL_OF_TOXICITY: Level of toxicity,NOTE_TIME_PERIOD: Time,BASE_PER: Base year,UNIT_MEAS: Measure unit,UNIT_MULT: Multiplication unit
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2015,296035,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2016,28211,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2017,27796,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2018,15157,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2019,15322,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2020,14781,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2021,13392,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2022,14996,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2023,14174,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PHTRAP: number of traps with pherormones distribuited,ALL: all items,ALL: all items,TOT: total,ALL: all items,2024,9364,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2015,136054697,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2016,124111578,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2017,116808762,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2018,114395891,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2019,111014889,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2020,121550398,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2021,116415072,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2022,102895620,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2023,92817167,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,ALL: all items,2024,93600146,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2015,35598156,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2016,31909980,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2017,31624069,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2018,30459152,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2019,27409389,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2020,30348877,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2021,25117931,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2022,17112281,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2023,13315516,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,HARM: harmful,2024,12660956,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2015,93488245,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2016,87299743,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2017,79146189,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2018,79009011,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2019,78167250,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2020,87557742,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2021,87851110,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2022,82911525,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2023,68387788,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,NC: not classifiable,2024,73521762,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2015,6968295,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2016,4901856,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2017,6038504,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2018,4927729,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2019,5438251,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2020,3643779,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2021,3446031,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2022,2871814,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2023,11113863,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,ALL: all items,TOT: total,TOX: very toxic or toxic,2024,7417428,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2015,69537519,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2016,61014497,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_1(1.0),A: annual,IT: Italy,PPPKG: amount of plant protection products distributed for agricultural use (kg),ALL: all items,FUN: fungicides,TOT: total,ALL: all items,2017,54536771,,,,,,,,,,,,
