SOURCE_ID	ROUTE_CLASS_ID	RESOLUCAO	ESTADO_NO_CURADOR	STRATEGY	PROVA_OU_PORQUE
IT-PROVA-RETRY	NAO_SEI	NAO_SEI	UNKNOWN	-	sem contrato no livro do coletor
IT-T1-001	NAO_SEI	NAO_SEI	CONTRACT_PENDING	-	so contrato/canario (None): o caminho existe, o resultado real nao esta provado
IT-T1-002	RC-1	CLASSE_PROVADA	CANARY_PENDING	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191235-eb94a10a12884b64
IT-T1-003	RC-1	CLASSE_PROVADA	CANARY_PENDING	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191247-1dba6f8f941c5b8c
IT-T1-004	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T1-005	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191308-2f2ccea3aa242d38
IT-T1-006	RC-1	CLASSE_PROVADA	CANARY_PENDING	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191324-803240b56549a13a
IT-T1-007	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191340-fce6e104e4f4af65
IT-T1-008	RC-1	CLASSE_PROVADA	UNKNOWN	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191354-b5f6f135c505ff87
IT-T1-009	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191407-b2ebe9f3986b66c5
IT-T1-010	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191421-e54aa65268e07164
IT-T1-011	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191433-1536b525db16df88
IT-T1-012	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T1-013	RC-1	CLASSE_PROVADA	CANARY_PENDING	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191455-05c83e78a2b754cd
IT-T1-014	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T1-015	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T1-016	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191525-bda65292ddf268cd
IT-T1-017	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T1-018	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191549-1a2fb52953efaa4b
IT-T1-019	RC-1	CLASSE_PROVADA	UNKNOWN	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191603-1321e1bd1b3b98e7
IT-T1-020	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T1-021	RC-1	CLASSE_PROVADA	CANARY_PENDING	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191628-52120846fd64a5a5
IT-T1-022	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T1-2026-09-20-191639-403ffcb4c3d3619a
IT-T1-023	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T1-024	NAO_SEI	NAO_SEI	CONTRACTED_CANARY_FAILED	-	sem contrato no livro do coletor
IT-T1-025	NAO_SEI	NAO_SEI	READY_FOR_COLLECTION	-	sem contrato no livro do coletor
IT-T10-002	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T10-006	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T10-007	RC-1	CLASSE_PROVADA	CANARY_PENDING	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T10-2026-09-20-193156-a06aa070dc4ef38e
IT-T10-008	NAO_SEI	NAO_SEI	DEGRADED	HTML_LINK_DISCOVERY	so contrato/canario (HTML_LINK_DISCOVERY): o caminho existe, o resultado real nao esta provado
IT-T10-009	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T10-2026-09-20-193222-aee17e0ede6713e6
IT-T10-010	RC-1	CLASSE_PROVADA	READY_FOR_COLLECTION	STATIC_ENDPOINT	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T10-2026-09-20-193233-ea35142fd47b1e28
IT-T10-011	RC-1	CLASSE_PROVADA	CANARY_PENDING	HTML_LINK_DISCOVERY	curadoria/LIFECYCLE-LEDGER-V1.json · BCR-2026-09-20:IT-T10-2026-09-20-193241-ca803f52619b2920
