PRODUCT,CATEGORY,CURRENT_ADAMA_CATALOG,PAGE_URL,REGISTRATION_ID,ROPF_MATCH,CROPS,ISSUES,ACTIVE_SUBSTANCES,LABEL,SDS,TECH_SHEET,OTHER_DOCS,DOCUMENT_COUNT,STORAGE_COUNT,HASH_VERIFIED,LAST_PUBLIC_DOC_DATE,NOTES
AGIL,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/agil,19140,MATCHED_EXACT,"ADORMIDERA; ALBARICOQUERO; ALFALFA; ALMENDRO; ALTRAMUZ; APIONABO; ARBUSTOS Y PEQUEÑOS ÁRBOLES ORNAMENTALES; ARROZ; AVELLANO; AVENA; Alpiste; BATATA, BONIATO; BERENJENA; BRÉCOL; CALABAZA; CAQUI; CASTAÑO; CEBOLLA; CEREZO; CHALOTE; CHIRIVÍA; CIRUELO; COLIFLOR; COLINABO; COLZA; CONÍFERAS; CÍTRICOS; ESPÁRRAGO; FRONDOSAS; FRUTALES DE PEPITA; GARBANZO; GIRASOL; GUISANTE PARA GRANO; GUISANTE VERDE; HABA PARA GRANO; HABA VERDE; HORTÍCOLAS; JUDÍA PARA GRANO; JUDÍA VERDE; LEGUMINOSAS DE GRANO; LEÑOSAS; MAÍZ; MELOCOTONERO; MELÓN; NABO; NOGAL; OLIVO; ORNAMENTALES HERBÁCEAS; PALMERA DATILERA; PALMÁCEAS; PATATA; RAÍZ DE PEREJIL; REMOLACHA AZUCARERA; REMOLACHA FORRAJERA; REPOLLO; RÁBANO; SANDÍA; SOJA; Salsifíes; TABACO; TOMATE; TRIGO; VEZA; VID DE MESA; VID DE VINIFICACIÓN; ZANAHORIA","CAÑOTA, SORGHUM HALEPENSE; Cola de zorro, Alopecurus myosuroides; Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS; VALLICO, LOLIUM RIGIDUM; Verónica, hierba gallinera, Veronica spp.",Propaquizafop,1,1,0,1,3,3,3,NÃO SEI,
Alister,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/alister,24156,MATCHED_EXACT,AVENA; CEBADA; CENTENO; HORTÍCOLAS; MAÍZ; TRIGO,DICOTILEDÓNEAS ANUALES; MALAS HIERBAS,Diflufenican,1,1,0,0,2,2,2,NÃO SEI,
ANIBAL,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/anibal,23912,MATCHED_EXACT,HORTÍCOLAS; MAÍZ; Malva; OLIVO,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Diflufenican; Clortoluron,1,1,0,1,3,3,3,NÃO SEI,
APHOX,CONTROL_DE_PLAGAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/aphox,11826,MATCHED_EXACT,"ALCACHOFA; ARBUSTOS Y PEQUEÑOS ÁRBOLES ORNAMENTALES; BERENJENA; BERRO, MASTUERZO; BRÉCOL; CANÓNIGO; CEREZO; CHIRIVÍA; CIRUELO; COL DE BRUSELAS; COLIFLOR; COLINABO; CONÍFERAS; CUCURBITÁCEAS; ESCAROLA; ESPÁRRAGO; FRESAL; FRONDOSAS; GUISANTE PARA GRANO; GUISANTE VERDE; HABA PARA GRANO; HABA VERDE; JUDÍA PARA GRANO; JUDÍA VERDE; LECHUGA; MANZANO; MELOCOTONERO; NABO; ORNAMENTALES HERBÁCEAS; PALMÁCEAS; PERAL; PIMIENTO; RAÍZ DE PEREJIL; REMOLACHA AZUCARERA; REMOLACHA DE MESA; REMOLACHA FORRAJERA; REPOLLO; RÁBANO; RÚCULA; TOMATE; ZANAHORIA","Cochinillas, Coccidae; LEPIDÓPTEROS; MALAS HIERBAS; Pulgón ceniciento, Dysaphis plantaginea; Pulgón ceroso de crucíferas, Brevicoryne brassicae; Pulgón del algodón, Aphis gossypii; Pulgón del guisante, Acyrthosiphon pisum; Pulgón lanígero del manzano, Eriosoma lanigerum; Pulgón verde de la patata, Macrosiphum euphorbiae; Pulgón verde del manzano, Aphis pomi; ÁFIDOS, PULGONES, APHIDIDAE",Pirimicarb,1,1,0,0,2,2,2,NÃO SEI,
AVASTEL,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/avastel,ES-01818,MATCHED_EXACT,CEBADA; OLIVO; PATATA; TRIGO,"FUSARIOSIS, FUSARIUM SPP.; Helmintosporiosis del trigo, Pyrenophora tritici-repentis; Helmintosporiosis reticular de la cebada, Pyrenophora teres; MALAS HIERBAS; Oídio de los cereales, Blumeria graminis; Ramularia o salpicado necrótico, Ramularia collo-cygni; Repilo del olivo, Venturia oleaginea; Rincosporiosis, escaldado de cereales, Rhynchosporium secalis; Roya amarilla del trigo, Puccinia striiformis; Roya parda del trigo, Puccinia triticina; Roya parda o enana de la cebada, Puccinia hordei; Septoriosis del trigo, Zymoseptoria tritici",PROTIOCONAZOL; FLUXAPIROSAD,1,1,0,1,3,3,3,NÃO SEI,
BANJO,CONTROL_DE_ENFERMEDADES,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/banjo,ES-01767,MATCHED_EXACT,OLIVO; PATATA,"MALAS HIERBAS; Repilo del olivo, Venturia oleaginea",Fluazinam,1,1,0,0,2,2,2,NÃO SEI,
BASTOS,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/bastos,18.087,ADAMA_SITE_ONLY,"BATATA, BONIATO; CEBADA; CHALOTE; CHIRIVÍA; GARBANZO; GUISANTE PARA GRANO; HABA PARA GRANO; HORTÍCOLAS; JUDÍA PARA GRANO; MAÍZ; PATATA; TRIGO","Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Prosulfocarb,1,1,0,1,3,2,2,NÃO SEI,
BREVIS,MEJORA_DE_CULTIVOS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/mejora-de-cultivos/brevis,ES-00073,MATCHED_EXACT,FRUTALES DE HUESO; MANZANO,"MALAS HIERBAS; Necrosis, helmintosporiosis de la adormidera, Alternaria penicillata",Metamitrona,1,1,0,0,2,2,2,NÃO SEI,
COLTRANE,CONTROL_DE_MALAS_HIERBAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/coltrane,ES-00205,ADAMA_SITE_ONLY,HORTÍCOLAS; MAÍZ,"Dicotiledóneas, malas hierbas de hoja ancha; MALAS HIERBAS",Dicamba; Mesotriona,1,1,0,0,2,2,2,NÃO SEI,
COSAYR,CONTROL_DE_PLAGAS,CURRENT,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/cosayr,ES-01942,MATCHED_EXACT,FRUTALES DE HUESO; MANZANO; MAÍZ; PATATA; TOMATE,"Coleópteros; LEPIDÓPTEROS; MALAS HIERBAS; ÁFIDOS, PULGONES, APHIDIDAE",Clorantraniliprol,1,1,0,2,4,4,4,NÃO SEI,
