DOCUMENT_ID,PRODUCT_ID,PRODUCT,DOCUMENT_TYPE,TYPE_EVIDENCE,URL,SOURCE_PAGE,FILENAME,VISIBLE_DOCUMENT_DATE,HTTP_STATUS,DOWNLOAD_STATE,MEDIA_TYPE,BYTES,SHA256,STORAGE_KEY,CAPTURED_AT,PROVA_DE_QUE_E_DOCUMENTO
DOC-ES-1cf6e2b1282b,ADAMA-ES-703ae70310a8,AGIL,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/1781/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/agil,L30002_06_AGIL (5)_SPECIMEN.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,760845,9df6963200ad81baa35f5647c1b10ac7968318a18b6f61445e987a6f73820f9c,raw/ES/adama-website/ADAMA-ES-703ae70310a8/9df6963200ad81ba-L30002_06_AGIL (5)_SPECIMEN.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-0d2855f0923b,ADAMA-ES-703ae70310a8,AGIL,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/11/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/agil,AGIL.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,127023,91c6e6f884c7f20641c95b522d6b1f38395d77c7fb16ffb9ae9569c8dbfb5b05,raw/ES/adama-website/ADAMA-ES-703ae70310a8/91c6e6f884c7f206-AGIL.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-9e48e4481746,ADAMA-ES-703ae70310a8,AGIL,BROCHURE,"TEXTO_DO_LINK casou ""Folleto""",https://www.adama.com/spain/es/media/16/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/agil,Díptico AGIL Olivar (11-24)2 BR.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,1308191,863d7d7fefbe52f2ba359580d321c79fdd150e2d359189abc45551717b535117,raw/ES/adama-website/ADAMA-ES-703ae70310a8/863d7d7fefbe52f2-Díptico AGIL Olivar (11-24)2 BR.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-7c9efef6aff0,ADAMA-ES-2faaf19d1085,Alister,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/3466/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/alister,L30093I_04_ALISTER 5_COMPLETA SPECIMEN.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,778692,028eb89e19624b4e3b2bd600822b55e443c0d4984891dfac4c8d373340bcbb13,raw/ES/adama-website/ADAMA-ES-2faaf19d1085/028eb89e19624b4e-L30093I_04_ALISTER 5_COMPLETA SPECIMEN.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-85246785bba1,ADAMA-ES-2faaf19d1085,Alister,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/3471/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/alister,ALISTER.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,108328,284d7aa1c3f445066a21b5a891df121818d6258bddfe4caa717ca0c51a18a597,raw/ES/adama-website/ADAMA-ES-2faaf19d1085/284d7aa1c3f44506-ALISTER.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-e45e0aed54f7,ADAMA-ES-3d7d78d03e08,ANIBAL,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/1786/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/anibal,L30004IPBR_04_ANIBAL 5L (SPECIMEN).pdf,NÃO SEI,200,DOWNLOADED,application/pdf,422630,f0b5148d6b2eb2e1f7a01c71a729da4aac92df2fe2502560cdcc9ee3d1d755eb,raw/ES/adama-website/ADAMA-ES-3d7d78d03e08/f0b5148d6b2eb2e1-L30004IPBR_04_ANIBAL 5L (SPECIMEN).pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-3a923117dcfe,ADAMA-ES-3d7d78d03e08,ANIBAL,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/1921/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/anibal,ANIBAL.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,127642,108ad146d509ee35bced97d11a07375385a749e56fd7b6e9880c9302be407be7,raw/ES/adama-website/ADAMA-ES-3d7d78d03e08/108ad146d509ee35-ANIBAL.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-ba6e589b5db7,ADAMA-ES-3d7d78d03e08,ANIBAL,BROCHURE,"TEXTO_DO_LINK casou ""Folleto""",https://www.adama.com/spain/es/media/186/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/anibal,ANIBAL Tríptico NOV-25.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,927148,0f9e2163ccf46b912089ece0fdd88813b9441b7f6243df31c1d980da00d62274,raw/ES/adama-website/ADAMA-ES-3d7d78d03e08/0f9e2163ccf46b91-ANIBAL Tríptico NOV-25.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-610c7324e51f,ADAMA-ES-7c1113978e9c,APHOX,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/411/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/aphox,Aphox Etiqueta.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,960118,9485107f958a8af5420eda999ca0c38c8f2ff597b8090d192987bb83dcaa5ba9,raw/ES/adama-website/ADAMA-ES-7c1113978e9c/9485107f958a8af5-Aphox Etiqueta.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-ccaccd26e395,ADAMA-ES-7c1113978e9c,APHOX,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/1926/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-plagas/aphox,APHOX.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,116298,7716e723ec8910b6b34185f596abeddbd16872adc2f896c0a561172d17556b90,raw/ES/adama-website/ADAMA-ES-7c1113978e9c/7716e723ec8910b6-APHOX.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
