Nom substance active;Numero CAS;Etat d’autorisation;Variant;
Chloropicrin;76-06-2;NON_INSCRITE;chloropicrine;
Benthiavalicarb;;NON_INSCRITE;benthiavalicarbe | benthiavalicarbe isopropyl;
Oxamyl;23135-22-0;NON_INSCRITE;oxamyl;
Pyrimethanil;53112-28-0;INSCRITE;pyriméthanil;
Huile de colza esterifiee;;AUTRE_CAS;Huile de colza esterifiee;
Flufenacet;142459-58-3;NON_INSCRITE;flufénacet;
Mepanipyrim;110235-47-7;NON_INSCRITE;mépanipyrime;
Pseudomonas chlororaphis MA342;;INSCRITE;pseudomonas chlororaphis souche MA342;
Dimoxystrobin;;NON_INSCRITE;dimoxystrobine;
Dimethomorph;;NON_INSCRITE;diméthomorphe;
Metiram;9006-42-2;NON_INSCRITE;métirame;
Phosmet;732-11-6;NON_INSCRITE;phosmet;
Beauveria bassiana strain ATCC 74040;;INSCRITE;Beauveria bassiana strains ATCC 74040 and GHA | Beauveria bassiana souche ATCC 74040;
Hydrolysed proteins;;INSCRITE;protéines hydrolysées | hydrolysat d'urée de mélasse de betterave | hydrolysat de protéines de collagène;
Fat distillation residues;;INSCRITE;résidus de distillation de graisses;
Rape seed oil ethyl ester;;AUTRE_CAS;ester éthylique d'huile de colza;
Alcools gras, C9-11, éthoxylé propoxylé;103818-93-5;AUTRE_CAS;Alcools gras, C9-11, éthoxylé propoxylé;
Bacillus subtilis strain RTI477;;INSCRITE;Bacillus subtilis strain RTI477;
ester méthylique d'acide gras;;AUTRE_CAS;ester méthylique d'acide gras;
Copolymère trisiloxane;27306-78-1;AUTRE_CAS;copolymère de trisiloxane;
Silicone resin;;AUTRE_CAS;Silicone resin;
Synthetic amorphous silica;;AUTRE_CAS;Synthetic amorphous silica;
Polydimethylsiloxane, ((2-octyldodecyl)oxy);;AUTRE_CAS;Polydimethylsiloxane, ((2-octyldodecyl)oxy);
Quartz sand;14808-60-7 (Quartz) | 7637-86-9 (Silicon dioxide);INSCRITE;sable de quartz | dioxyde de silicium;
Alkyl éther sulfate de sodium;68891-38-3;AUTRE_CAS;Alkyl éther sulfate de sodium;
Metarhizium anisopliae var. anisopliae strain BIPESCO 5;;INSCRITE;Metarhizium anisopliae var. anisopliae strain BIPESCO 5 | Metarhizium anisopliae var. anisopliae souche BIPESCO 5;
Gibberellins;77182-82-2;INSCRITE;gibbérellines | gibbérelline A4 | gibbérellines GA4/GA7 | gibbérellines A3 | gibbérelline A7;
Pelargonic Acid;112-05-0;INSCRITE;acide pélargonique;
Epoxiconazole;133855-98-8 | 135319-73-2 (formerly 106325-08-0);NON_INSCRITE;époxiconazole;
Triflumizole;99387-89-0;NON_INSCRITE;triflumizole;
Fenpropimorph;67564-91-4;NON_INSCRITE;fenpropimorphe;
Forchlorfenuron;68157-60-8;INSCRITE;forchlorfénuron;
Triflumuron;64628-44-0;NON_INSCRITE;triflumuron;
Trimethylamine hydrochloride;593-81-7;NON_INSCRITE;hydrochlorure de triméthylamine;
Cyromazine;66215-27-8;NON_INSCRITE;cyromazine;
Diflubenzuron;35367-38-5;NON_INSCRITE;diflubenzuron;
Lenacil;2164-08-1;INSCRITE;lénacile;
Difenacoum;56073-07-5;NON_INSCRITE;difénacoum;
Dimethoate;;NON_INSCRITE;diméthoate;
Tralkoxydim;87820-88-0;NON_INSCRITE;tralkoxydime;
Sucrose;57-50-1;INSCRITE;sucrose;
Triasulfuron;82097-50-5;NON_INSCRITE;triasulfuron;
Stéarate de sucrose;84066-95-5;AUTRE_CAS;Stéarate de sucrose;
Fenpyrazamine;473798-59-3;NON_INSCRITE;fenpyrazamine;
Thifensulfuron-methyl;79277-27-3;INSCRITE;thifensulfuron-méthyl;
Cire de paraffine;8002-74-2;AUTRE_CAS;Cire de paraffine;
Beauveria bassiana strain 203;;INSCRITE;Beauveria bassiana 203;
Beta-Cyfluthrin;68359-37-5;NON_INSCRITE;béta-cyfluthrine;
Mefenpyr;135590-91-9;AUTRE_CAS;méfenpyr-diéthyl;
Trichoderma atroviride AT10;;INSCRITE;Trichoderma atroviride AT10;
Cymoxanil;57966-95-7;INSCRITE;cymoxanil;
Bacillus thuringiensis subsp. israelensis strain AM65-52;;INSCRITE;Bacillus thuringiensis subsp. Israelensis souche AM65-52;
Milbemectin;51596-10-2 | 51596-11-3;INSCRITE;milbémectine | milbémectine M.A4 | milbémectine M.A3;
1,2,4-triazole;;AUTRE_CAS;1,2,4-triazole;
Bacillus pumilus F-33;;AUTRE_CAS;Bacillus pumilus F-33;
Burkholderia rinojensis souche A396 (suspension bact. non viable);;AUTRE_CAS;Burkholderia rinojensis souche A396 (suspension bact. non viable);
Cire d'abeille;;AUTRE_CAS;cire d'abeille;
Dimethyl disulfide;;AUTRE_CAS;diméthyldisulfure;
Bacillus thuringiensis subsp. kurstaki;;INSCRITE;Bacillus thuringiensis subsp. kurstaki souche ABTS 351 | Bacillus thuringiensis subsp. kurstaki souche EG 2348 | Bacillus thuringiensis subsp. kurstaki souche SA 11 | Bacillus thuringiensis subsp. kurstaki souche PB 54 | Bacillus thuringiensis subsp. kurstaki souche SA-12;
Spodoptera exigua multicapsid nucleopolyhedrovirus(SeMNPV), isolate BV-0004;;INSCRITE;Spodoptera exigua multicapsid nucleopolyhedrovirus;
Clopyralid;1702-17-6;INSCRITE;clopyralid sel de monoéthanolamine | clopyralid | clopyralid diméthylamine;
Heptamethyltrisiloxane modifie polyalkyleneoxide;;AUTRE_CAS;heptaméthyltrisiloxane modifié polyalkylenoxide (méthylé) (CAS N°27306-78-1) | heptaméthyltrisiloxane modifié polyalkylenoxide (hydroxylé) (CAS N°67674-67-3) | heptamethyltrisiloxane modifie polyalkyleneoxide;
Bacillus velezensis strain RTI301;;INSCRITE;Bacillus velezensis strain RTI301;
Betabaculovirus phoperculellae;;INSCRITE;Phthorimaea operculella granulovirus (PhopGV) | Betabaculovirus phoperculellae;
Magnesium sulphate;;AUTRE_CAS;Sulfate de magnésium | sulfate de magnésium heptahydraté;
Chlorsulfuron;64902-72-3;NON_INSCRITE;chlorsulfuron;
Benfluralin;1861-40-1;NON_INSCRITE;benfluraline;
Bromadiolone;28772-56-7;NON_INSCRITE;bromadiolone;
Benzoic acid;65-85-0;INSCRITE;acide benzoïque;
Purpureocillium lilacinum  strain 251;;INSCRITE;Paecilomyces lilacinus souche 251 | Paecilomyces lilacinus (Thom) Samson 1974 souche 251 (AGAL: no 89/030550) | Paecilomyces lilacinus strain 251;
Spinosad;168316-95-8;INSCRITE;spinosad | spinosyne A | spinosyne D;
Beta-sitostérol;83-46-5;AUTRE_CAS;Beta-sitostérol;
Trichoderma atroviride strain SC1;;INSCRITE;Trichoderma atroviride SC1;
Zinc phosphide;1314-84-7;INSCRITE;phosphure de zinc;
Repellents by smell of animal or plant origin/fish;;INSCRITE;répulsif olfactif d'origine animal ou végétal/huile de poisson | huile de poisson;
Repellents by smell of animal or plant origin/sheep fat;;INSCRITE;répulsif olfactif d'origine animal ou végétal / graisse de mouton;
Ester méthylique d'huile de colza (CAS N°73891-99-3);73891-99-3;AUTRE_CAS;Ester méthylique d'huile de colza (CAS N°73891-99-3);
Esters de colophane et de diéthylène glycol (CAS N°68153-38-8);68153-38-8;AUTRE_CAS;esters de colophane et de diéthylène glycol (CAS N°68153-38-8);
Bispyribac sodium;125401-92-5;NON_INSCRITE;bispyribac sodium;
Bacillus amyloliquefaciens FZB24;;INSCRITE;Bacillus amyloliquefaciens souche FZB24;
Trichoderma atroviride AGR2;;INSCRITE;Trichoderma atroviride AGR2;
Methyl ester of rapeseed oil;85586-25-0 | 67762-38-3;AUTRE_CAS;ester méthylique d'huile de colza;
Acides gras, C14-22 et C14-22 insaturés, méthyl ester, sulfatés, sels de sodium (CAS N°84776-43-2);84776-43-2;AUTRE_CAS;acides gras, C14-22 et C14-22 insaturés, méthyl ester, sulfatés, sels de sodium (CAS N°84776-43-2);
Dihydromyrcenol;89-78-1;AUTRE_CAS;dihydromyrcénol;
Bixlozone;;INSCRITE;Bixlozone;
Sesame oil;;AUTRE_CAS;huile de sésame;
Prochloraz;67747-09-5;NON_INSCRITE;complexe prochloraze, chlorure de cuivre | prochloraz | prochloraze manganèse | prochloraze isomere D;
Acide citrique, monohydraté (CAS n° 5949-29-1);;AUTRE_CAS;acide citrique, monohydraté (CAS n° 5949-29-1);
Sulfate d'ammonium (CAS n° 7783-20-2);;AUTRE_CAS;sulfate d'ammonium (CAS n° 7783-20-2);
2,6,6-Trimethylbicyclo(3.1.1)hept-2-en-4-ol;;NON_INSCRITE;2,6,6-Triméthylbicyclo(3.1.1)hept-2-en-4-ol;
2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene (alpha-Pin;;NON_INSCRITE;2,6,6-Triméthylbicyclo[3.1.1]hept-2-ene (alpha-Pinen);
2-Aminobutane;;NON_INSCRITE;2-Aminobutane;
Terpineol (CAS n° 8000-41-7);;AUTRE_CAS;terpinéol (CAS n° 8000-41-7);
Aldicarb;116-06-3;NON_INSCRITE;aldicarbe;
Alkyldimethylethylbenzylammonium chloride;;NON_INSCRITE;chlorure d'alkyldimethylethylbenzylammonium;
Chlorthiamid;1918-13-4;NON_INSCRITE;chlorthiamide;
Cinidon-ethyl;142891-20-1;NON_INSCRITE;cinidon-éthyle;
Cresylic acid;;NON_INSCRITE;acide crésylique;
Dinoterb;;NON_INSCRITE;acétate de dinoterbe | dinoterbe sel de diméthylamine | dinoterbe  sel de monométhylamine | dinoterbe sel de diéthanolamine | dinoterbe | dinoterbe sel d'amine;
Dioxathion;78-34-2;NON_INSCRITE;dioxathion;
Diphacinone;82-66-6;NON_INSCRITE;diphacinone;
Disulfoton;298-04-4;NON_INSCRITE;disulfoton;
Dinoseb;88-85-7 | 1420-07-1;NON_INSCRITE;dinosèbe acide | dinosèbe sel d'éthanolamine | dinosèbe sel d'ammonium | dinosèbe phénol libre | dinosèbe sel de triethanolamine | dinosèbe sel d'amine | dinosèbe | dinosèbe ester acétique;
Extract from Menta piperita;;NON_INSCRITE;extrait de menthe poivrée (Menta piperita);
Fenaminosulf;;NON_INSCRITE;phénaminosulf;
Fenbuconazole;;NON_INSCRITE;Fenbuconazole;
Farnesol;;NON_INSCRITE;farnésol;
Orthosulfamuron;;NON_INSCRITE;orthosulfamuron;
Oxasulfuron;144651-06-9;NON_INSCRITE;oxasulfuron;
Oxycarboxin;5259-88-1;NON_INSCRITE;oxycarboxine;
Paraformaldehyde;;NON_INSCRITE;paraformaldéhyde;
Paraquat;4685-14-7;NON_INSCRITE;paraquat;
Prothiofos;;NON_INSCRITE;prothiofos;
Pyrazophos;13457-18-6;NON_INSCRITE;pyrazophos;
Thiamethoxam;153719-23-4;NON_INSCRITE;thiaméthoxame;
Triazoxide;72459-58-6;NON_INSCRITE;triazoxide;
1,3-Dichloropropene (cis);;NON_INSCRITE;1,3-Dichloropropène (cis);
1,3-Diphenyl urea;;NON_INSCRITE;1,3-Diphényl urea;
Derives d'acides gras vegetaux;;AUTRE_CAS;Derives d'acides gras vegetaux;
Isazofos;42509-80-8;NON_INSCRITE;isazofos;
Isofenphos;25311-71-1;NON_INSCRITE;isophenphos;
acide sulfurique, esters de mono-alkyles en C12-14, sels de sodium;85586-07-8;AUTRE_CAS;acide sulfurique, esters de mono-alkyles en C12-14, sels de sodium;
Ioxynil;1689-83-4;NON_INSCRITE;ioxynil sel de sodium | ioxynil ester octanoïque | ioxynil octanoate | ioxynil phénol | ioxynil;
Iprobenfos;;NON_INSCRITE;iprobenfos;
Karbutilate;4849-32-5;NON_INSCRITE;karbutilate;
Kasugamycin;;NON_INSCRITE;kasugamycine;
Lauryldimethylbenzylammonium chloride;;NON_INSCRITE;chlorure de lauryldimethylbenzylammonium;
Isocarbamide;;NON_INSCRITE;isocarbamide;
Mecarbam;2595-54-2;NON_INSCRITE;mecarbame;
Lineatin;;NON_INSCRITE;linéatine;
Oléate d'éthyle (CAS n° 111-62-6);111-62-6;AUTRE_CAS;oléate d'éthyle (CAS n° 111-62-6);
