crop_code,crop_it,area_code,area_it,year,superficie_totale_ha,superficie_in_produzione_ha,produzione_raccolta_q,produzione_totale_q,resa_calculada_t_ha,dataflow,source_url
APPLE,mela,IT,Italia,2024,55381,,23985387,24191418,43.31,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,IT,Italia,2025,55110,,24129162,24300051,43.78,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,IT,Italia,2026,55012,,23913152,24112030,43.47,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC1,Piemonte,2024,6829,,1550962,1550962,22.71,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC1,Piemonte,2025,6698,,1732075,1732075,25.86,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC1,Piemonte,2026,6711,,1569750,1569750,23.39,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC2,Valle d'Aosta / Vallée d'Aoste,2024,190,,55000,55000,28.95,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC2,Valle d'Aosta / Vallée d'Aoste,2025,200,,55000,55000,27.5,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC2,Valle d'Aosta / Vallée d'Aoste,2026,210,,55000,55000,26.19,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC3,Liguria,2024,31,,3400,3700,10.97,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC3,Liguria,2025,31,,3488,3638,11.25,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC3,Liguria,2026,32,,2808,2818,8.78,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC4,Lombardia,2024,1349,,442404,442404,32.79,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC4,Lombardia,2025,1288,,413204,413204,32.08,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITC4,Lombardia,2026,1288,,413204,413204,32.08,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD1,Provincia Autonoma Bolzano / Bozen,2024,17511,,10408330,10408330,59.44,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD1,Provincia Autonoma Bolzano / Bozen,2025,17474,,10569800,10569800,60.49,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD1,Provincia Autonoma Bolzano / Bozen,2026,17366,,10018600,10018600,57.69,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD2,Provincia Autonoma Trento,2024,9744,,4777710,4777710,49.03,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD2,Provincia Autonoma Trento,2025,9835,,4777710,4777710,48.58,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD2,Provincia Autonoma Trento,2026,9900,,5173000,5173000,52.25,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD3,Veneto,2024,5573,,2860055,3031575,51.32,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD3,Veneto,2025,5571,,2573521,2727992,46.19,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD3,Veneto,2026,5571,,3002724,3182869,53.9,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
