DATAFLOW,FREQ: Frequenza,REF_AREA: Territorio,DATA_TYPE: Indicatore,TYPE_OF_CROP: Tipo di coltivazione,DESTINATION_WINEGRAPES: Destinazione dell'uva da vino,TIME_PERIOD: Tempo,OBS_VALUE,OBS_STATUS: Stato dell'osservazione,NOTE_DS: Nota del dataset,NOTE_REF_AREA: Territorio,NOTE_DATA_TYPE: Indicatore,NOTE_TYPE_OF_CROP_EUCODE: Codice Eurostat,NOTE_TYPE_OF_CROP: Tipo di coltivazione,NOTE_DESTINATION_WINEGRAPES: Destinazione dell'uva da vino,NOTE_TIME_PERIOD: Tempo,BASE_PER: Anno base,UNIT_MEAS: Unità di misura,UNIT_MULT: Unità di moltiplicazione
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,APPLE: mela,ALL: tutte le voci,2024,55381,,,,,F1110: F1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,APPLE: mela,ALL: tutte le voci,2025,55110,,,,,F1110: F1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,APPLE: mela,ALL: tutte le voci,2026,55012,,,,,F1110: F1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,BARLEY: orzo,ALL: tutte le voci,2024,239079,,,,,C1300: C1300,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,BARLEY: orzo,ALL: tutte le voci,2025,228832,,,,,C1300: C1300,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,BARLEY: orzo,ALL: tutte le voci,2026,230670,,,,,C1300: C1300,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,KIWI: kiwi,ALL: tutte le voci,2024,24680,,,,,F2200: F2200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,KIWI: kiwi,ALL: tutte le voci,2025,24693,,,,,F2200: F2200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,KIWI: kiwi,ALL: tutte le voci,2026,24651,,,,,F2200: F2200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,PEACH: pesca,ALL: tutte le voci,2024,36962,,,,,F1210: F1210,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,PEACH: pesca,ALL: tutte le voci,2025,36152,,,,,F1210: F1210,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,PEACH: pesca,ALL: tutte le voci,2026,36744,,,,,F1210: F1210,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,POTA: patata comune,ALL: tutte le voci,2024,32781,,,,,R1000_II: R1000_II,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,POTA: patata comune,ALL: tutte le voci,2025,33253,,,,,R1000_II: R1000_II,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,POTA: patata comune,ALL: tutte le voci,2026,31818,,,,,R1000_II: R1000_II,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,SUNFLO: girasole,ALL: tutte le voci,2024,110402,,,,,I1120: I1120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,SUNFLO: girasole,ALL: tutte le voci,2025,109397,,,,,I1120: I1120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,SUNFLO: girasole,ALL: tutte le voci,2026,123183,,,,,I1120: I1120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,APPLE: mela,ALL: tutte le voci,2024,23985387,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",F1110: F1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,APPLE: mela,ALL: tutte le voci,2025,24129162,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",F1110: F1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,APPLE: mela,ALL: tutte le voci,2026,23913152,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",F1110: F1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,BARLEY: orzo,ALL: tutte le voci,2024,8915186,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",C1300: C1300,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,BARLEY: orzo,ALL: tutte le voci,2025,8439955,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",C1300: C1300,,,,,,
