DATAFLOW,FREQ: Frequenza,REF_AREA: Territorio,DATA_TYPE: Indicatore,TYPE_OF_CROP: Tipo di coltivazione,DESTINATION_WINEGRAPES: Destinazione dell'uva da vino,TIME_PERIOD: Tempo,OBS_VALUE,OBS_STATUS: Stato dell'osservazione,NOTE_DS: Nota del dataset,NOTE_REF_AREA: Territorio,NOTE_DATA_TYPE: Indicatore,NOTE_TYPE_OF_CROP_EUCODE: Codice Eurostat,NOTE_TYPE_OF_CROP: Tipo di coltivazione,NOTE_DESTINATION_WINEGRAPES: Destinazione dell'uva da vino,NOTE_TIME_PERIOD: Tempo,BASE_PER: Anno base,UNIT_MEAS: Unità di misura,UNIT_MULT: Unità di moltiplicazione
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OLIVTAB_OIL: olive da tavola e da olio,ALL: tutte le voci,2024,1113664,,,,,O1000: O1000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OLIVTAB_OIL: olive da tavola e da olio,ALL: tutte le voci,2025,1107789,,,,,O1000: O1000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OLIVTAB_OIL: olive da tavola e da olio,ALL: tutte le voci,2026,1109392,,,,,O1000: O1000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,TABLEGRAPES: uva da tavola,ALL: tutte le voci,2024,47514,,,,,W1200: W1200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,TABLEGRAPES: uva da tavola,ALL: tutte le voci,2025,47062,,,,,W1200: W1200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,TABLEGRAPES: uva da tavola,ALL: tutte le voci,2026,40790,,,,,W1200: W1200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,WINEES: uva da vino,ALL: tutte le voci,2024,692663,,,,,W1100: W1100,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,WINEES: uva da vino,ALL: tutte le voci,2025,694333,,,,,W1100: W1100,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,WINEES: uva da vino,ALL: tutte le voci,2026,681842,,,,,W1100: W1100,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,OLIVTAB_OIL: olive da tavola e da olio,ALL: tutte le voci,2024,22996772,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",O1000: O1000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,OLIVTAB_OIL: olive da tavola e da olio,ALL: tutte le voci,2025,24357826,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",O1000: O1000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,OLIVTAB_OIL: olive da tavola e da olio,ALL: tutte le voci,2026,24883536,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",O1000: O1000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,TABLEGRAPES: uva da tavola,ALL: tutte le voci,2024,10026934,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",W1200: W1200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,TABLEGRAPES: uva da tavola,ALL: tutte le voci,2025,9775960,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",W1200: W1200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,TABLEGRAPES: uva da tavola,ALL: tutte le voci,2026,8800946,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",W1200: W1200,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,WINEES: uva da vino,ALL: tutte le voci,2024,66101872,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",W1100: W1100,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,WINEES: uva da vino,ALL: tutte le voci,2025,66793717,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",W1100: W1100,,,,,,
