DATAFLOW,FREQ: Frequenza,REF_AREA: Territorio,DATA_TYPE: Indicatore,TYPE_OF_CROP: Tipo di coltivazione,DESTINATION_WINEGRAPES: Destinazione dell'uva da vino,TIME_PERIOD: Tempo,OBS_VALUE,OBS_STATUS: Stato dell'osservazione,NOTE_DS: Nota del dataset,NOTE_REF_AREA: Territorio,NOTE_DATA_TYPE: Indicatore,NOTE_TYPE_OF_CROP_EUCODE: Codice Eurostat,NOTE_TYPE_OF_CROP: Tipo di coltivazione,NOTE_DESTINATION_WINEGRAPES: Destinazione dell'uva da vino,NOTE_TIME_PERIOD: Tempo,BASE_PER: Anno base,UNIT_MEAS: Unità di misura,UNIT_MULT: Unità di moltiplicazione
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OFTP: pomodoro da trasformazione in piena aria,ALL: tutte le voci,2024,76746,,,,,V3120: V3120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OFTP: pomodoro da trasformazione in piena aria,ALL: tutte le voci,2025,81365,,,,,V3120: V3120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OFTP: pomodoro da trasformazione in piena aria,ALL: tutte le voci,2026,90105,,,,,V3120: V3120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OFTTOT: pomodoro da consumo fresco o da mensa,ALL: tutte le voci,2024,17372,,,,,V3110: V3110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OFTTOT: pomodoro da consumo fresco o da mensa,ALL: tutte le voci,2025,17253,,,,,V3110: V3110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,OFTTOT: pomodoro da consumo fresco o da mensa,ALL: tutte le voci,2026,17201,,,,,V3110: V3110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,OFTP: pomodoro da trasformazione in piena aria,ALL: tutte le voci,2024,48208652,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",V3120: V3120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,OFTP: pomodoro da trasformazione in piena aria,ALL: tutte le voci,2025,54159407,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",V3120: V3120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,OFTP: pomodoro da trasformazione in piena aria,ALL: tutte le voci,2026,60808583,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",V3120: V3120,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,HP_Q_EXT: produzione raccolta - quintali,OFTTOT: pomodoro da consumo fresco o da mensa,ALL: tutte le voci,2024,5181914,,,,"TIPO_DATO5__HP_Q_EXT_N1: Per tutte le coltivazioni foraggere temporanee e permanenti, a partire dal 2020 i valori di produzione sono espressi in quintali;<br />Dal 2020 sono diffusi i valori di produzione raccolta in quanto necessari per il calcolo della resa. <br />La serie storica e di conseguenza l'attendibilità dei dati diffusi negli anni precedenti non vengono compromessi perché, per le foraggere, i valori di produzione totale e raccolta coincidono.",V3110: V3110,,,,,,
