DATAFLOW,FREQ: Frequenza,REF_AREA: Territorio,DATA_TYPE: Indicatore,TYPE_OF_CROP: Tipo di coltivazione,DESTINATION_WINEGRAPES: Destinazione dell'uva da vino,TIME_PERIOD: Tempo,OBS_VALUE,OBS_STATUS: Stato dell'osservazione,NOTE_DS: Nota del dataset,NOTE_REF_AREA: Territorio,NOTE_DATA_TYPE: Indicatore,NOTE_TYPE_OF_CROP_EUCODE: Codice Eurostat,NOTE_TYPE_OF_CROP: Tipo di coltivazione,NOTE_DESTINATION_WINEGRAPES: Destinazione dell'uva da vino,NOTE_TIME_PERIOD: Tempo,BASE_PER: Anno base,UNIT_MEAS: Unità di misura,UNIT_MULT: Unità di moltiplicazione
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,BEETS: barbabietola da zucchero,ALL: tutte le voci,2024,29230,,,,,R2000: R2000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,BEETS: barbabietola da zucchero,ALL: tutte le voci,2025,18680,,,,,R2000: R2000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,COMMEAT: frumento tenero,ALL: tutte le voci,2024,520314,,,,,C1110: C1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,COMMEAT: frumento tenero,ALL: tutte le voci,2025,511242,,,,,C1110: C1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,COMMEAT: frumento tenero,ALL: tutte le voci,2026,531743,,,,,C1110: C1110,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,MAIZE: mais,ALL: tutte le voci,2024,495354,,,,,C1500: C1500,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,MAIZE: mais,ALL: tutte le voci,2025,540945,,,,,C1500: C1500,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,MAIZE: mais,ALL: tutte le voci,2026,530296,,,,,C1500: C1500,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,RICE: riso,ALL: tutte le voci,2024,226130,,,,,C2000: C2000,,,,,,
IT1:101_1015(1.0),A: annuale,IT: Italia,ART: superficie totale - ettari,RICE: riso,ALL: tutte le voci,2025,231347,,,,,C2000: C2000,,,,,,
