DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_OF_CROP,DESTINATION_WINEGRAPES,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_OF_CROP_EUCODE,NOTE_TYPE_OF_CROP,NOTE_DESTINATION_WINEGRAPES,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,AACAE,ALL,2025,47779,,,,,T1100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,AACAE,ALL,2026,43622,,,,,T1100,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ALMO,ALL,2025,54514,,,,,F4300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ALMO,ALL,2026,55215,,,,,F4300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,AOAO,ALL,2025,93,,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,APPLE,ALL,2025,55110,,,,,F1110,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,APPLE,ALL,2026,55012,,,,,F1110,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,APRIC,ALL,2025,17157,,,,,F1230,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,APRIC,ALL,2026,17350,,,,,F1230,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ASPAINGREOPEN,ALL,2025,8067,,,,,V2600_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,ASPAINGREOPEN,ALL,2026,8146,,,,,V2600_II,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BANA,ALL,2025,5,,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BARLEY,ALL,2025,228832,,,,,C1300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BARLEY,ALL,2026,230670,,,,,C1300,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_2(1.0),A,IT,ART,BEANK,ALL,2025,3542,,,,,P1200_II,,,,,,
