num_registrazione;denominazione_prodotto;ragione_sociale;indirizzo_sede_legale;cap_sede_legale;comune_sede_legale;provincia_sede_legale;indirizzo_sede_amministrativa;cap_sede_amministrativa;comune_sede_amministrativa;provincia_sede_amministrativa;data_registrazione;data_scadenza_autorizzazione;indicazioni_di_pericolo;attivita;codice_formulazione;descrizione_formulazione;sostanze_attive;contenuto_per_100g_di_prodotto;importazione_parallela;PFnPO;PFnPE;stato_amministrativo;motivo_della revoca;data_decreto_revoca;data_decorrenza_revoca
000001;ENOVIT;SIPCAM S.P.A.;VIA CARROCCIO, 8;20123;MILANO;MILANO;VIA SEMPIONE, 195;20016;PERO;MILANO;14/04/1970;-;-;-;DP;POLVERE;THIOPHANATE-METHYL;-;NO;NO;NO;Revocato;-;-;14/07/1983
000002;CONTRAX STANGE;KEMIO;VIA M. PANTALEONI, 31;00191;ROMA;ROMA;VIA M. PANTALEONI, 31;00191;ROMA;ROMA;21/01/1971;-;-;-;PR;BASTONCINO PER PIANTE;WARFARIN;-;NO;NO;NO;Revocato;REVOCA PER MANCATA RISPOSTA A RICHIESTE UFFICIO;-;05/03/1997
000003;QUINTAMON;DU PONT DE NEMOURS ITALIANA S.R.L.;VIA PONTACCIO, 10;20121;MILANO;MILANO;VIA DEI COMIZI AGRARI, 10;26100;CREMONA;CREMONA;07/09/1971;-;-;-;DP;POLVERE;DICLORAN;50.0 g;NO;NO;NO;Revocato;-;-;07/04/1990
000005;AGROXONE 96;SOLPLANT S.P.A.;VIA PROVINCIALE, 132;40056;CRESPELLANO;BOLOGNA;VIA S.SOFIA, 21;20122;MILANO;MILANO;19/06/1971;-;-;-;DP;POLVERE;MCPA;75.0 g;NO;NO;NO;Revocato;-;-;07/04/1990
000006;TMTD-AMONN;DU PONT DE NEMOURS ITALIANA S.R.L.;VIA PONTACCIO, 10;20121;MILANO;MILANO;VIA DEI COMIZI AGRARI, 10;26100;CREMONA;CREMONA;08/09/1971;-;-;-;WP;POLVERE BAGNABILE;THIRAM;80.0 g;NO;NO;NO;Revocato;-;-;31/12/2002
000007;ZIRAM 80;DU PONT DE NEMOURS ITALIANA S.R.L.;VIA PONTACCIO, 10;20121;MILANO;MILANO;VIA DEI COMIZI AGRARI, 10;26100;CREMONA;CREMONA;07/09/1971;-;-;-;DP;POLVERE;ZIRAM;76.0 g;NO;NO;NO;Revocato;-;-;07/04/1990
000008;DDT 50 WP;SOLPLANT S.P.A.;VIA PROVINCIALE, 132;40056;CRESPELLANO;BOLOGNA;VIA S.SOFIA, 21;20122;MILANO;MILANO;20/07/1971;-;-;-;WP;POLVERE BAGNABILE;DDT;-;NO;NO;NO;Revocato;-;-;11/10/1978
000009;ENTOX 10 POLVERE;SOLPLANT S.P.A.;VIA PROVINCIALE, 132;40056;CRESPELLANO;BOLOGNA;VIA S.SOFIA, 21;20122;MILANO;MILANO;14/06/1971;-;-;-;-;-;ALDRIN;-;NO;NO;NO;Revocato;-;-;26/10/1973
000010;AGROXONE C;SOLPLANT S.P.A.;VIA PROVINCIALE, 132;40056;CRESPELLANO;BOLOGNA;VIA S.SOFIA, 21;20122;MILANO;MILANO;14/06/1971;-;-;-;-;-;MCPA;1.0 g;NO;NO;NO;Revocato;-;-;07/04/1990
000011;ALGACIDE;SOLPLANT S.P.A.;VIA PROVINCIALE, 132;40056;CRESPELLANO;BOLOGNA;VIA S.SOFIA, 21;20122;MILANO;MILANO;14/06/1971;-;-;-;DP;POLVERE;COPPER CHLORIDE;82.0 g;NO;NO;NO;Revocato;-;-;16/03/1994
000012;ENTOX 60 POLVERE;SOLPLANT S.P.A.;VIA PROVINCIALE, 132;40056;CRESPELLANO;BOLOGNA;VIA S.SOFIA, 21;20122;MILANO;MILANO;17/06/1971;-;-;-;-;-;ALDRIN;-;NO;NO;NO;Revocato;-;-;26/10/1973
000013;THIOPRON;UPL HOLDINGS COÃPERATIEF U.A.;Claudius Prinsenlaan 144 A, Blok A;NL-4818CP;BREDA;-;Claudius Prinsenlaan 144 A, Blok A;NL-4818CP;BREDA;-;16/03/1972;31/07/2027;(XI) IRRITANTE;FUNGICIDA;AL;LIQUIDO (SENZA DILUIZIONE);SULPHUR (ZOLFO);57.3 g;NO;NO;NO;Ri-registrato;-;-;-
000014;MICROTHIOL;UPL HOLDINGS COÃPERATIEF U.A.;Claudius Prinsenlaan 144 A, Blok A;NL-4818CP;BREDA;-;Claudius Prinsenlaan 144 A, Blok A;NL-4818CP;BREDA;-;16/03/1972;31/07/2027;(XI) IRRITANTE;FUNGICIDA;GR;MICROGRANULARE IDRODISPERSIBILE;SULPHUR (ZOLFO);80.0 g;NO;NO;NO;Ri-registrato;-;-;-
000015;CORBAX;SYNGENTA ITALIA S.P.A.;VIA FULVIO TESTI, 280/6;20126;MILANO;MILANO;VIA GALLARATE, 139;20151;MILANO;MILANO;07/05/1971;-;-;-;DP;POLVERE;ANTRACHINONE;25.0 g;NO;NO;NO;Revocato;-;-;14/03/2003
000016;PATORAN;BASF A.G. (AKTIENGESELLSHAFT);CARL BOSCH STRASSE, 88;6700;LUDWIGSHAFEN (G);-;VIA S. SOFIA, 21;20122;MILANO C/O SOLPLANT;-;02/12/1971;-;-;-;WP;POLVERE BAGNABILE;METOBROMURON;50.0 g;NO;NO;NO;Revocato;-;-;20/09/2002
000017;U 46 COMBI FLUID;NUFARM B.V.;Rivium Quadrant 75, 7e verdieping;2909LC;Capelle aan den IJssel;-;Rivium Quadrant 75, 7e verdieping;2909LC;Capelle aan den IJssel;-;17/06/1971;31/12/2030;(XN) NOCIVO;DISERBANTE;SL;CONCENTRATO SOLUBILE;MCPA|2,4-D;25.0 g|29.0 g;NO;NO;NO;Autorizzato;-;-;-
000018;CITOWETT;BASF A.G. (AKTIENGESELLSHAFT);CARL BOSCH STRASSE, 88;6700;LUDWIGSHAFEN (G);-;VIA S. SOFIA, 21;20122;MILANO C/O SOLPLANT;-;01/12/1971;-;-;-;AL;LIQUIDO (SENZA DILUIZIONE);-;-;NO;NO;NO;Revocato;-;-;20/09/2002
000019;BAGNANTE SOLPLANT;SOLPLANT S.P.A.;VIA PROVINCIALE, 132;40056;CRESPELLANO;BOLOGNA;VIA S.SOFIA, 21;20122;MILANO;MILANO;22/07/1971;-;-;-;DP;POLVERE;-;-;NO;NO;NO;Revocato;-;-;14/02/1994
000020;BASF-D ESTER 50;BASF A.G. (AKTIENGESELLSHAFT);CARL BOSCH STRASSE, 88;6700;LUDWIGSHAFEN (G);-;VIA S. SOFIA, 21;20122;MILANO C/O SOLPLANT;-;27/07/1971;-;-;-;EC;CONCENTRATO EMULSIONABILE;2,4-D;46.0 g;NO;NO;NO;Revocato;-;-;20/09/2002
000021;PERTHANE EC;DU PONT DE NEMOURS ITALIANA S.R.L.;VIA PONTACCIO, 10;20121;MILANO;MILANO;VIA DEI COMIZI AGRARI, 10;26100;CREMONA;CREMONA;09/11/1972;-;-;-;-;-;PERTANE;45.0 g;NO;NO;NO;Revocato;-;-;07/04/1990
000022;U 46 DP-FLUID;BASF A.G. (AKTIENGESELLSHAFT);CARL BOSCH STRASSE, 88;6700;LUDWIGSHAFEN (G);-;VIA S. SOFIA, 21;20122;MILANO C/O SOLPLANT;-;20/07/1971;-;-;-;SL;CONCENTRATO SOLUBILE;DICHLORPROP;54.0 g;NO;NO;NO;Revocato;-;-;20/09/2002
