derived	source_id	veredito	CLASSE	porque
989	IT-T10-018	NAO_SEI		
990	IT-T10-018	NAO_SEI		
992	IT-T10-021	NAO		
993	IT-T10-021	NAO		
994	IT-T10-022	NAO		
996	IT-T10-022	NAO_SEI		
995	IT-T10-022	NAO		
997	IT-T12-024	NAO		
999	IT-T12-024	NAO_SE_APLICA		
998	IT-T12-024	NAO_SE_APLICA		
1001	IT-T12-117	NAO_SE_APLICA		
1000	IT-T12-117	NAO_SE_APLICA		
1004	IT-T12-129	NAO_SE_APLICA		
1003	IT-T12-129	NAO		
1002	IT-T12-129	NAO		
1007	IT-T12-130	NAO_SE_APLICA		
1006	IT-T12-130	NAO_SE_APLICA		
1005	IT-T12-130	NAO_SE_APLICA		
1008	IT-T12-137	NAO_SE_APLICA		
1010	IT-T2-006	NAO		
1009	IT-T2-006	NAO		
1011	IT-T2-006	NAO		
1013	IT-T2-032	NAO_SEI		
1012	IT-T2-032	NAO_SEI		
1014	IT-T2-037	NAO_SEI		
1017	IT-T2-146	NAO_SEI		
1016	IT-T2-146	NAO_SEI		
1015	IT-T2-146	NAO		
1020	IT-T5-056	NAO_SEI		
1023	IT-T5-186	NAO_SEI		
1027	IT-T7-017	NAO		
1025	IT-T7-017	NAO		
1026	IT-T7-017	NAO		
1028	IT-T7-019	NAO_SEI		
1030	IT-T7-019	NAO		
1029	IT-T7-019	NAO		
1031	IT-T7-021	NAO_SEI		
1033	IT-T7-042	NAO_SEI		
1032	IT-T7-042	NAO_SEI		
1034	IT-T7-042	NAO_SEI		
1037	IT-T7-048	NAO		
1036	IT-T7-048	NAO		
1035	IT-T7-048	NAO		
1038	IT-T7-049	NAO		
1039	IT-T7-049	NAO		
1040	IT-T7-049	NAO		
1042	IT-T7-103	NAO_SEI		
1041	IT-T7-103	NAO_SEI		
1043	IT-T7-103	NAO_SEI		
1045	IT-T7-118	NAO		
1044	IT-T7-118	NAO		
1047	IT-T7-117	NAO_SEI		
1046	IT-T7-117	NAO_SEI		
1048	IT-T7-125	NAO		
1049	IT-T7-125	NAO		
1050	IT-T7-125	NAO		
1053	IT-T7-139	NAO		
1051	IT-T7-139	NAO		
1052	IT-T7-139	NAO		
1057	IT-T9-009	NAO_SEI		
1059	IT-T9-009	NAO		
