RODADA	SOURCE_ID	CHANNEL_ID	GRUPO	PORTA_DO_WORKFLOW_HOJE
01	IT-T8-004	UCrCabYjtyqdzu1zXo95o7Jw	T8	ABRE
01	IT-T8-005	UCB345okRbU6TqQyWXd8D8oA	T8	ABRE
02	IT-T8-006	UCLqKnJJf6VBExBf5qp8N74w	T8	ABRE
02	IT-T9-014	UCB3cnpKOvT56elhTKE7cjSg	T9	ABRE
03	IT-T9-016	UC84-4aKRmQbIG5eprbIaR9Q	T9	ABRE
03	IT-T9-017	UCmPpv0_TilfaF9Df5SzeFiQ	T9	ABRE
04	IT-T2-025	UC1vKirvt0hzsqE9zQAs9nTw	T2	FONTE_SEM_APELIDO
04	IT-T2-026	UCTK_ULXg3gzn8el_oFk-5eA	T2	FONTE_SEM_APELIDO
05	IT-T2-027	UCamw8rL1JPLjfa3Bx6ax8Eg	T2	FONTE_SEM_APELIDO
05	IT-T2-028	UCtBD35n-HE7x_MWnjc1kt7g	T2	FONTE_SEM_APELIDO
06	IT-T5-037	UCOiX7jy7G-NMPtaA9QaNQrg	T5	FONTE_SEM_APELIDO
06	IT-T5-038	UC3HdHdHUZomg1l3K_UWv9PQ	T5	FONTE_SEM_APELIDO
07	IT-T5-040	UCH-UMwlZXbrOb3RrL2GejMA	T5	FONTE_SEM_APELIDO
07	IT-T7-015	UCJi1Vrelq8obdmS_UXP3T2g	T7	FONTE_SEM_APELIDO
08	IT-T7-020	UCfYSI-_mzA0BWZwHcPrO0vg	T7	FONTE_SEM_APELIDO
08	IT-T7-022	UC_yfE6hgWx4FBDCz1PmLjxw	T7	FONTE_SEM_APELIDO
09	IT-T7-023	UCFkdwOroXwCFMXHneVMeYqQ	T7	FONTE_SEM_APELIDO
09	IT-T7-024	UCdJ3sb6r1X0pjU6XR9OMdGw	T7	FONTE_SEM_APELIDO
10	IT-T7-025	UC0iNaYRRl9AJzjRxOHxIpsQ	T7	FONTE_SEM_APELIDO
10	IT-T7-026	UC4LCuwIcRPhrE2mFJ8ZXtLg	T7	FONTE_SEM_APELIDO
11	IT-T7-027	UCEgJbey3UogPJPmdlBEAjKQ	T7	FONTE_SEM_APELIDO
11	IT-T7-028	UCJbuSrQ57Z-dAYGI7n2VwPg	T7	FONTE_SEM_APELIDO
12	IT-T7-030	UCZb5Epldni2gfgoXoN15tGA	T7	FONTE_SEM_APELIDO
12	IT-T7-032	UCC19gccUupOm590hcozwdBA	T7	FONTE_SEM_APELIDO
13	IT-T7-034	UCFEHyFgwGUYCa2OKHjDUd1g	T7	FONTE_SEM_APELIDO
13	IT-T7-035	UCosKzVZGcw6VR3sW9QKGkVw	T7	FONTE_SEM_APELIDO
14	IT-T7-036	UC3VPPuduz1p_fouWblztteQ	T7	FONTE_SEM_APELIDO
14	IT-T7-037	UCpdWeEtUCU1aHhJnj2TwheA	T7	FONTE_SEM_APELIDO
15	IT-T7-039	UCmRWXB6nOPLc5x42XXhGrWg	T7	FONTE_SEM_APELIDO
15	IT-T10-017	UCfdN2DQZBfZo-7VgBqotYuQ	T10	FONTE_SEM_APELIDO
16	IT-T10-019	UCVc4Edn_BaeH00XULZ0SqgQ	T10	FONTE_SEM_APELIDO
16	IT-T11-006	UCS-EXLzpmRwcnJNsm9SWJdA	T11	FONTE_SEM_APELIDO
17	IT-T11-007	UCxqWrxc-sInT6ODtyHUzZRA	T11	FONTE_SEM_APELIDO
17	IT-T12-007	UCEg22ii3Awy6eyRybNqO-8Q	T12	FONTE_SEM_APELIDO
18	IT-T12-008	UCpiryXByW32kGxQXTlbnSXA	T12	FONTE_SEM_APELIDO
18	IT-T12-010	UCH_LCqE9qGb6TvpXwGudNbQ	T12	FONTE_SEM_APELIDO
19	IT-T12-011	UCZvge-xP6fg5S5DvUxjNbGQ	T12	FONTE_SEM_APELIDO
19	IT-T12-012	UCZd755PSrP2Jm8zk38LgtHA	T12	FONTE_SEM_APELIDO
20	IT-T12-014	UC8fp1anRLt5xmyirKPIE_zg	T12	FONTE_SEM_APELIDO
20	IT-T12-015	UCxIuSXfCNVnzTLD3EJFcQng	T12	FONTE_SEM_APELIDO
21	IT-T12-016	UC4wxlAIQauBZe7CDnLXkWqA	T12	FONTE_SEM_APELIDO
22	IT-T5-042	UCm-f74uymvl9TOLWqf6GOpA	T5	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
22	IT-T5-043	UCDNXhv9mPzYo5FQKkg_oSWw	T5	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
23	IT-T5-044	UCiECZ69Hbfmcsu8O54r3geQ	T5	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
23	IT-T5-045	UCUpCShTEkFvbXHCQRiWczjQ	T5	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
24	IT-T5-047	UCWD-2QiKuzZIA8WW1SAoH0w	T5	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
24	IT-T5-048	UCKdQcnPtPZs3k08e5jrFSNQ	T5	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
25	IT-T5-050	UCWRr0vMGqdmyqzdm3bNGY4Q	T5	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
25	IT-T7-016	UCHm8wgnyeNFP2luUq_lMPMg	T7	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
26	IT-T7-018	UCfqqPifpfaZUI30hxiygmJw	T7	FONTE_SEM_APELIDO (e so com canais-pesquisa-v1)
