ENTRA  IT-T7-174  https://www.conaf.it/newsinhome/conaf-news/
FICA   IT-T12-024  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T12-104  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T12-117  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T12-129  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T12-130  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T12-131  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T2-032  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T2-037  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T2-050  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T2-056  a prova nao diz que contrato provou (sem CONTRATO_SHA256): e de antes do PONTE-ONBOARD — refazer o canario
FICA   IT-T2-106  a prova nao diz que contrato provou (sem CONTRATO_SHA256): e de antes do PONTE-ONBOARD — refazer o canario
FICA   IT-T2-145  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T2-146  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T3-023  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T3-045  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-056  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-080  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-101  canario nao provou a rota: UNKNOWN — robots ilegivel deste egresso: robots inacessivel apos 2 tentativas (URLError) — UNKNOWN, tratado como 
FICA   IT-T5-111  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-113  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-160  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-167  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-185  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-186  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T5-187  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T7-019  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T7-048  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T7-049  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T7-053  canario nao provou a rota: UNKNOWN — robots ilegivel deste egresso: robots inacessivel apos 2 tentativas (URLError) — UNKNOWN, tratado como 
FICA   IT-T7-058  canario nao provou a rota: UNKNOWN — robots ilegivel deste egresso: robots inacessivel apos 2 tentativas (URLError) — UNKNOWN, tratado como 
FICA   IT-T7-100  a prova nao diz que contrato provou (sem CONTRATO_SHA256): e de antes do PONTE-ONBOARD — refazer o canario
FICA   IT-T7-103  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T7-115  canario nao provou a rota: CAPABILITY_BLOCK — https://www.cia.it/news/settore-comunicazione-contatti/: CAPA_NAO_E_MATERIA: o contrato declar
FICA   IT-T7-120  canario nao provou a rota: CAPABILITY_BLOCK — https://inac-cia.it/news/notizie/sei-un-pensionato/: alvo sem corpo util: HTML_KIND=MIXED; htt
FICA   IT-T7-125  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T7-139  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T7-163  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T7-170  DUPLICADA: a rota chega ao mesmo documento que IT-T7-174 — duas fichas, uma fonte; decisao de identidade, nao de rota
FICA   IT-T7-172  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T8-022  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T8-024  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T8-041  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T8-042  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T8-062  canario nao provou a rota: SEM_CANARIO — 
FICA   IT-T8-068  canario nao provou a rota: SEM_CANARIO — 
ENTRA=1 FICA=45
escritas na tabela: 1
