ORDEM	SOURCE_ID	VIDEO_ID	FERRAMENTA	PUBLICADO	DURACAO_S	LEGENDA_IT	VIDEOS_GUARDADOS	UTEIS	CULT+PROB	RECENTES	CURTOS	ULTIMO_VIDEO	TITULO	PORQUE
1	IT-T8-006	CJkSwEuSP-o	VOCI	2026-06-30	198	SIM	15	6	6	15	13	2026-07-21	Oliveto Smart a Fieragricola 2026 - Intervista a Silverio Pachioli – Agronomo Fitopatologo	entrevistas com nome e papel (agronomo fitopatologo, Condifesa, Universita di Milano); 6/15 uteis, todos recentes e curtos
2	IT-T12-008	-37WbH5uyY8	VOCI	2026-07-15	191	SIM	15	1	1	15	14	2026-09-04	AMAP a convegno: la difesa della mosca delle olive	servico regional (AMAP/ASSAM): convegno sobre a defesa da mosca da oliveira; entrevistas com nome
3	IT-T5-040	kwdnOzbJV8Y	SCIENTIFICA	2025-12-04	326	SIM	15	1	2	12	5	2026-06-10	Approcci innovativi per la difesa delle piante ortofrutticole	centro de pesquisa: webinars tecnicos (fitossanitario do damasco, elaterideos na batata); o curto escolhido: defesa ortofruticola
4	IT-T7-026	5tysjcD2H3M	VOCI	2025-05-21	805	SIM	15	2	2	11	4	2026-07-10	Conoscere le minacce per ipotizzare la strategia di difesa -  Sostenibilità e difesa delle colture	ordem dos agronomos: «Conoscere le minacce ... strategia di difesa» (805 s: precisa do teto de duracao a 900 s; sem ele, AttwCVnZBjg de 102 s)
5	IT-T8-004	s-x7v5HkA4g	VOCI	2026-09-11	253	SIM	15	0	0	15	12	2026-09-11	Osservazione e progettualità: così si fronteggia il climate change in viticoltura	imprensa tecnica (Edagricole): viticultura e clima; entrevistas com pesquisadores (Bruno Basso, Angelo Frascarelli)
6	IT-T7-034	x29XBSKzbD4	VOCI	2025-11-26	155	SIM	15	1	1	3	12	2025-11-26	Presentazione Annata agronomica 2025	«Presentazione Annata agronomica 2025» do consorcio de Montalcino: cultura (vinha) + lugar explicitos
7	IT-T9-014	D317qbCYAcU	SCIENTIFICA	2026-09-01	293	SIM	15	0	0	15	14	2026-09-01	Miglioramento genetico di pesche e percoche: le novità del progetto Maspes	projeto de melhoramento genetico de pessego (cooperativa com pesquisa aplicada)
8	IT-T7-025	bmf0luQcjRY	VOCI	2026-08-06	184	SIM	15	0	0	15	14	2026-09-15	RAI 3 AGORA' ESTATE - Intervento su siccità di Stefano Calderoni, Cia	dirigentes da CIA com nome falando de seca/calor por cultura e regiao (problema abiotico: vale para Voci, nao para praga)
9	IT-T10-017	OcRfQTiia3Y	VOCI	2026-04-13	208	SIM	15	0	0	12	15	2026-05-27	Basilicata: dove nascono le fragole premium	produtores e cadeia falando de cultura + regiao (morango da Basilicata); sem praga nos titulos
10	IT-T9-017	JNkhc4s00tY	CONCORRENZA+VOCI	2025-11-10	184	SIM	15	0	4	7	14	2026-09-08	Biocontrollo su agrumi con Koppert	tecnicos da Koppert: biocontrolo por cultura (citrinos, framboesa, tomate); e empresa (T9): voz comercial, nao neutra
