VOLTA	NIVEL	SOURCE_ID	VIDEO_ID	VOZES	PESSOA	PAPEL	CULTURA	PROBLEMA	PUBLICADO	DURACAO_S	LEGENDA_IT	TITULO	PORQUE
2A	A	IT-T9-014	pCtl0kpM1xM	V28	Luca Fagioli	tecnico del Consorzio Agrario di Ravenna (descricao)	pero (pereti)	cimice asiatica	2026-05-04	216	SIM	Difesa contro la cimice asiatica: consigli utili	as tres coisas no texto proprio do video
2A	B	IT-T8-006	CjtZ_U1KOMs	V02	Valerio Nadal	Condifesa (qual: NAO SEI)	vite	so do evento (peronospora; tema: potatura)	2026-04-02	104	SIM	Vite in Campo 2026 - Intervista a Valerio Nadal (Condifesa)	tecnico de defesa com nome; o problema e do evento, nao dito por ele
2A	C	IT-T8-004	HfTvWjFwsvQ	V20	Bruno Basso	prof., Michigan State University (descricao)	NAO SEI	NAO SEI	2026-09-10	136	SIM	AGRILAB 2026, INTERVISTA A BRUNO BASSO	pesquisador identificado; agricultura de precisao, sem cultura nem problema no texto
2A	C	IT-T9-016	QmeVN7SNnMU	V12	Matteo Gnocato	Rete tecnica CAI (titulo)	NAO SEI	NAO SEI	2025-10-14	62	SIM	Matteo Gnocato | Rete tecnica CAI	tecnico de campo com nome; o texto nao diz de que cultura/problema
2B	B	IT-T8-006	Pw-dHhFWFeY	V04	Silvia Toffolati	Universita di Milano (titulo)	vite	so do evento (peronospora; tema: potatura)	2026-04-02	78	SIM	Vite in Campo 2026 - Intervista a Silvia Toffolati (Università di Milano)	academica com nome; problema so do evento
2B	B	IT-T9-014	AQ5u5u-_Jjg	V16	Pietro Baroncini	tecnico (descricao: «intervista al tecnico»)	drupacee (albicocche, pesche)	nenhum (balanco da campanha)	2026-06-24	160	SIM	Campagna drupacee 2026, la frutta c'è: il punto di Pietro Baroncini	tecnico com nome + cultura; sem praga
2C	B	IT-T8-006	pgQCP00r8eg	V03	Giulia Zuecco	Docente Universita di Padova (titulo)	olivo	NAO SEI (sem descricao)	2026-06-30	216	SIM	Oliveto Smart a Fieragricola 2026 - Intervista a Giulia Zuecco – Docente Università di Padova	academica com nome + cultura; problema nao dito
2D	B	IT-T8-006	oSg9I8_tkvI	V05	Riccardo Castaldi	Terremerse (papel: NAO SEI)	vite	so do evento (peronospora; tema: potatura)	2026-04-02	115	SIM	Vite in Campo 2026 - Intervista a Riccardo Castaldi (Terremerse)	cooperativa; papel tecnico nao provado
2E	B	IT-T8-006	IXF-wG0-iQ4	V07	Gabriele Posenato	Cadis 1898 (papel: NAO SEI)	vite	so do evento (peronospora; tema: potatura)	2026-04-02	72	SIM	Vite in Campo 2026 - Intervista a Gabriele Posenato (Cadis 1898)	empresa de insumos; papel tecnico nao provado
2F	B	IT-T8-006	OUOpZ0mSfR8	V06	Enzo Gambin	direttore Aipo (dirigente, nao tecnico)	olivo	NAO SEI (sem descricao)	2026-06-30	123	SIM	Oliveto Smart a Fieragricola 2026 - Intervista a Enzo Gambin, direttore Aipo	dirigente de associacao de olivicultores; nao e tecnico
