Could not find platform independent libraries <prefix>
jobs=1038 already=0 todo=1038
  25/1038 ok=25 fail=0
  50/1038 ok=50 fail=0
  75/1038 ok=75 fail=0
  100/1038 ok=100 fail=0
  125/1038 ok=125 fail=0
  150/1038 ok=150 fail=0
  175/1038 ok=175 fail=0
  200/1038 ok=200 fail=0
  225/1038 ok=225 fail=0
  250/1038 ok=250 fail=0
  275/1038 ok=275 fail=0
  300/1038 ok=300 fail=0
  325/1038 ok=325 fail=0
  350/1038 ok=350 fail=0
  375/1038 ok=375 fail=0
  400/1038 ok=400 fail=0
  425/1038 ok=425 fail=0
  450/1038 ok=450 fail=0
  475/1038 ok=475 fail=0
  500/1038 ok=500 fail=0
  525/1038 ok=525 fail=0
  550/1038 ok=550 fail=0
  575/1038 ok=575 fail=0
  600/1038 ok=600 fail=0
  625/1038 ok=625 fail=0
  650/1038 ok=650 fail=0
  675/1038 ok=675 fail=0
  700/1038 ok=700 fail=0
  725/1038 ok=725 fail=0
  750/1038 ok=750 fail=0
  775/1038 ok=775 fail=0
  800/1038 ok=800 fail=0
  825/1038 ok=825 fail=0
  850/1038 ok=850 fail=0
  875/1038 ok=875 fail=0
  900/1038 ok=900 fail=0
  925/1038 ok=925 fail=0
  950/1038 ok=950 fail=0
  975/1038 ok=975 fail=0
  1000/1038 ok=1000 fail=0
  1025/1038 ok=1025 fail=0
  1038/1038 ok=1038 fail=0
DONE ok=1038 fail=0
