Could not find platform independent libraries <prefix>
files=347 already=0 todo=347
  20/347 ok=20 dup=0 fail=0
  40/347 ok=40 dup=0 fail=0
  60/347 ok=60 dup=0 fail=0
  80/347 ok=80 dup=0 fail=0
  100/347 ok=100 dup=0 fail=0
  120/347 ok=120 dup=0 fail=0
  140/347 ok=140 dup=0 fail=0
  160/347 ok=160 dup=0 fail=0
  180/347 ok=180 dup=0 fail=0
  200/347 ok=200 dup=0 fail=0
  220/347 ok=220 dup=0 fail=0
  240/347 ok=240 dup=0 fail=0
  260/347 ok=260 dup=0 fail=0
  280/347 ok=280 dup=0 fail=0
  300/347 ok=300 dup=0 fail=0
  320/347 ok=320 dup=0 fail=0
  340/347 ok=340 dup=0 fail=0
  347/347 ok=347 dup=0 fail=0
DONE ok=347 dup=0 fail=0
